Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Brett Favre*+,GNB,QB,27,16,16,325,543,3899,39,13,49,136,2.78,2,0,0,0,,0,11,4,2,,3,310,309.6,332.6,322.6,154,1,1
2,Terry Allen*,WAS,RB,28,16,16,0,0,0,0,0,347,1353,3.90,21,42,32,194,6.06,0,4,2,21,,,277,308.7,316.7,292.7,150,1,2
3,Terrell Davis*+,DEN,RB,24,16,16,0,0,0,0,0,345,1538,4.46,13,52,36,310,8.61,2,5,3,15,,,269,304.8,313.8,286.8,142,2,3
4,Vinny Testaverde*,BAL,QB,33,16,16,325,549,4177,33,19,34,188,5.53,2,0,0,0,,0,9,7,2,1,3,286,285.9,317.9,304.9,130,2,4
5,Ricky Watters*,PHI,RB,27,16,16,0,0,0,0,0,353,1411,4.00,13,70,51,444,8.71,0,5,5,13,,,254,304.5,315.5,279.0,127,3,5
6,Curtis Martin*,NWE,RB,23,16,15,0,0,0,0,0,316,1152,3.65,14,52,46,333,7.24,3,4,3,17,1,,247,292.5,301.5,269.5,120,4,6
7,Mark Brunell*,JAX,QB,26,16,16,353,557,4367,19,20,80,396,4.95,3,0,0,0,,0,14,3,3,2,3,272,272.3,301.3,292.3,117,3,7
8,Emmitt Smith,DAL,RB,27,15,15,0,0,0,0,0,327,1204,3.68,12,57,47,249,5.30,3,5,2,15,,,231,278.3,286.3,254.8,105,5,8
9,Shannon Sharpe*+,DEN,TE,28,15,15,0,0,0,0,0,0,0,,0,117,80,1062,13.28,10,1,1,10,,,164,244.2,248.2,204.2,104,1,9
10,Barry Sanders*,DET,RB,28,16,16,0,1,0,0,1,307,1553,5.06,11,32,24,147,6.13,0,4,2,11,,,230,254.0,263.0,243.0,103,6,10
11,Jeff Blake,CIN,QB,26,16,16,308,549,3624,24,14,72,317,4.40,2,0,0,0,,0,7,3,2,,1,253,252.7,275.7,266.7,97,4,11
12,John Elway*,DEN,QB,36,15,15,287,466,3328,26,14,50,249,4.98,4,0,0,0,,0,6,4,4,,,250,250.0,274.0,264.0,94,5,12
13,Michael Jackson,BAL,WR,27,16,16,0,0,0,0,0,0,0,,0,150,76,1201,15.80,14,0,,14,2,,208,284.1,287.1,246.1,93,1,13
14,Drew Bledsoe*,NWE,QB,24,16,16,373,623,4086,27,15,24,27,1.13,0,0,0,0,,0,9,2,0,,4,248,248.1,268.1,263.1,92,6,14
15,Jerome Bettis*+,PIT,RB,24,16,12,0,0,0,0,0,320,1431,4.47,11,32,22,122,5.55,0,7,3,11,,,215,237.3,246.3,226.3,89,7,15
16,Tony Martin*,SDG,WR,31,16,16,0,0,0,0,0,0,0,,0,167,85,1171,13.78,14,0,,14,,,201,286.1,289.1,243.6,86,2,16
17,Carl Pickens*,CIN,WR,26,16,16,1,1,12,0,0,2,2,1.00,0,174,100,1180,11.80,12,0,,12,1,,193,292.7,295.7,242.7,78,3,17
18,Jerry Rice*+,SFO,WR,34,16,16,0,1,0,0,0,11,77,7.00,1,153,108,1254,11.61,8,0,,9,,,187,295.1,298.1,241.1,72,4,18
19,Wesley Walls*,CAR,TE,30,16,15,0,0,0,0,0,0,0,,0,111,61,713,11.69,10,0,,10,,,131,192.3,195.3,161.8,71,2,19
20,Herman Moore*+,DET,WR,27,16,16,0,0,0,0,0,0,0,,0,178,106,1296,12.23,9,0,,9,1,,186,291.6,294.6,238.6,71,5,20
21,Eddie George,HOU,RB,23,16,16,0,0,0,0,0,335,1368,4.08,8,28,23,182,7.91,0,3,3,8,,,197,220.0,229.0,208.5,70,8,21
22,Irving Fryar*,PHI,WR,34,16,16,0,0,0,0,0,1,-4,-4.00,0,152,88,1195,13.58,11,0,,11,,,185,273.1,276.1,229.1,70,6,22
23,Ben Coates*,NWE,TE,27,16,15,0,0,0,0,0,0,0,,0,100,62,682,11.00,9,1,1,9,1,,122,184.2,188.2,153.2,62,3,23
24,Cris Carter*,MIN,WR,31,16,16,0,0,0,0,0,0,0,,0,167,96,1163,12.11,10,1,1,10,,,174,270.3,274.3,222.3,59,7,24
25,Jake Reed,MIN,WR,29,16,15,0,0,0,0,0,0,0,,0,126,72,1320,18.33,7,0,,7,,,174,246.0,249.0,210.0,59,8,25
26,Karim Abdul-Jabbar,MIA,RB,22,16,14,0,0,0,0,0,307,1116,3.64,11,46,23,139,6.04,0,4,3,11,,,186,208.5,217.5,197.0,59,9,26
27,Isaac Bruce*,STL,WR,24,16,16,1,2,15,0,1,1,4,4.00,0,150,84,1338,15.93,7,1,1,7,,,173,256.8,261.8,215.8,58,9,27
28,Jamal Anderson,ATL,RB,24,16,12,0,0,0,0,0,232,1055,4.55,5,67,49,473,9.65,1,4,4,6,,,181,229.8,239.8,205.3,54,10,28
29,Derrick Alexander,BAL,WR,25,15,14,0,0,0,0,0,3,0,0.00,0,107,62,1099,17.73,9,0,,9,1,,166,227.9,230.9,196.9,51,10,29
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
30,Keith Jackson*,GNB,TE,31,16,5,0,0,0,0,0,0,0,,0,63,40,505,12.63,10,0,,10,,,111,150.5,153.5,130.5,50,4,30
31,Jimmy Smith,JAX,WR,27,16,9,0,0,0,0,0,0,0,,0,128,83,1244,14.99,7,1,1,7,,,164,247.4,251.4,205.9,49,11,31
32,Thurman Thomas,BUF,RB,30,15,15,0,0,0,0,0,281,1033,3.68,8,42,26,254,9.77,0,1,1,8,,,175,200.7,207.7,187.7,48,11,32
33,Tim Brown*,OAK,WR,30,16,16,0,0,0,0,0,6,35,5.83,0,146,90,1104,12.27,9,3,3,9,,,162,251.9,257.9,206.9,47,12,33
34,Larry Centers*+,ARI,RB,28,16,14,0,0,0,0,0,116,425,3.66,2,130,99,766,7.74,7,1,1,9,,,171,270.1,277.1,220.6,44,12,34
35,Curtis Conway,CHI,WR,25,16,16,1,1,33,1,0,8,50,6.25,0,143,81,1049,12.95,7,1,,7,,,157,238.2,241.2,197.7,42,13,35
36,Joey Galloway,SEA,WR,25,16,16,0,0,0,0,0,15,127,8.47,0,121,57,987,17.32,7,2,2,8,,,155,212.4,220.4,183.9,40,14,36
37,Adrian Murrell,NYJ,RB,26,16,16,0,0,0,0,0,301,1249,4.15,6,36,17,81,4.76,1,6,4,7,,,167,184.0,191.0,175.5,40,13,37
38,Eddie Kennison,STL,WR,23,15,14,0,0,0,0,0,0,0,,0,115,54,924,17.11,9,5,2,11,,,154,208.4,213.4,181.4,39,15,38
39,Anthony Johnson,CAR,RB,29,16,11,0,0,0,0,0,300,1120,3.73,6,33,26,192,7.38,0,2,1,6,,,165,191.2,198.2,178.2,38,14,39
40,Terry Glenn,NWE,WR,22,15,15,0,0,0,0,0,5,42,8.40,0,167,90,1132,12.58,6,1,,6,,,153,243.4,246.4,198.4,38,16,40
41,Steve Young*,SFO,QB,35,12,12,214,316,2410,14,6,52,310,5.96,4,0,0,0,,0,3,2,4,1,,193,193.4,207.4,199.4,38,7,41
42,Marcus Allen,KAN,RB,36,16,15,0,1,0,0,0,206,830,4.03,9,35,27,270,10.00,0,2,,9,,,164,191.0,197.0,177.5,37,15,42
43,Jeff Hostetler,OAK,QB,35,13,13,242,402,2548,23,14,37,179,4.84,1,0,0,0,,0,4,,1,,,190,189.8,209.8,203.8,34,8,43
44,Antonio Freeman,GNB,WR,24,12,12,0,0,0,0,0,0,0,,0,107,56,933,16.66,9,3,2,9,,,143,199.3,204.3,171.3,28,17,44
45,Scott Mitchell,DET,QB,28,14,14,253,437,2917,17,17,37,83,2.24,4,0,0,0,,0,9,,4,,,183,183.0,203.0,200.0,27,9,45
46,Andre Reed,BUF,WR,32,16,16,0,0,0,0,0,8,22,2.75,0,101,66,1036,15.70,6,1,,6,,,142,207.8,210.8,174.8,27,18,46
47,O.J. McDuffie,MIA,WR,27,16,16,0,0,0,0,0,2,7,3.50,0,119,74,918,12.41,8,6,,8,,,141,214.5,217.5,177.5,26,19,47
48,Frank Wycheck,HOU,TE,25,16,16,0,0,0,0,0,2,3,1.50,0,68,53,511,9.64,6,2,2,6,,,83,136.4,141.4,109.9,23,5,48
49,Keyshawn Johnson,NYJ,WR,24,14,11,0,0,0,0,0,0,0,,0,125,63,844,13.40,8,0,,8,1,,134,197.4,200.4,165.9,19,20,49
50,James Stewart,JAX,RB,25,13,11,0,0,0,0,0,190,723,3.81,8,40,30,177,5.90,2,2,2,10,,,146,176.0,184.0,161.0,19,16,50
51,Brett Perriman,DET,WR,31,16,16,0,0,0,0,0,1,13,13.00,0,170,94,1021,10.86,5,0,,5,,,133,227.4,230.4,180.4,18,21,51
52,Marvin Harrison,IND,WR,24,16,15,0,0,0,0,0,3,15,5.00,0,118,64,836,13.06,8,1,,8,,,133,197.1,200.1,165.1,18,22,52
53,Keenan McCardell*,JAX,WR,26,16,15,0,0,0,0,0,0,0,,0,127,85,1129,13.28,3,1,,3,1,,133,217.9,220.9,175.4,18,23,53
54,Bobby Hebert,ATL,QB,36,14,13,294,488,3152,22,25,15,59,3.93,1,0,0,0,,0,10,4,1,,1,170,170.0,202.0,195.0,14,10,54
55,Chris Warren,SEA,RB,28,14,14,0,0,0,0,0,203,855,4.21,5,46,40,273,6.83,0,3,2,5,1,,141,180.8,188.8,160.8,14,17,55
56,Ken Dilger,IND,TE,25,16,16,0,0,0,0,0,0,0,,0,60,42,503,11.98,4,1,,4,,,74,116.3,119.3,95.3,14,6,56
57,Bert Emanuel,ATL,WR,26,14,13,0,0,0,0,0,0,0,,0,123,75,921,12.28,6,0,,6,,,128,203.1,206.1,165.6,13,24,57
58,Marshall Faulk,IND,RB,23,13,13,0,0,0,0,0,198,587,2.96,7,80,56,428,7.64,0,2,2,7,,,140,195.5,203.5,167.5,13,18,58
59,Rob Moore,ARI,WR,28,16,16,0,0,0,0,0,0,0,,0,146,58,1016,17.52,4,0,,4,1,,128,185.6,188.6,156.6,13,25,59
