Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Emmitt Smith*+,DAL,RB,26,16,16,0,0,0,0,0,377,1773,4.70,25,78,62,375,6.05,0,7,6,25,,,353,414.8,426.8,383.8,221,1,1
2,Jerry Rice*+,SFO,WR,33,16,16,1,1,41,1,0,5,36,7.20,1,176,122,1848,15.15,15,3,3,17,1,,292,414.0,420.0,353.0,174,1,2
3,Isaac Bruce,STL,WR,23,16,16,0,0,0,0,0,3,17,5.67,0,199,119,1781,14.97,13,2,1,13,1,,258,376.8,380.8,317.3,140,2,3
4,Herman Moore*+,DET,WR,26,16,16,0,0,0,0,0,0,0,,0,206,123,1686,13.71,14,2,2,14,,,249,371.6,376.6,310.1,131,3,4
5,Curtis Martin*,NWE,RB,22,16,15,0,0,0,0,0,368,1487,4.04,14,50,30,261,8.70,1,5,3,15,1,,261,290.8,299.8,275.8,129,2,5
6,Brett Favre*+,GNB,QB,26,16,16,359,570,4413,38,13,39,181,4.64,3,0,0,0,,0,8,4,3,,,331,330.6,353.6,343.6,128,1,6
7,Barry Sanders*+,DET,RB,27,16,16,1,2,11,0,0,314,1500,4.78,11,70,48,398,8.29,1,3,3,12,,,256,304.2,313.2,280.2,124,3,7
8,Cris Carter*,MIN,WR,30,16,16,0,0,0,0,0,1,0,0.00,0,197,122,1371,11.24,17,0,,17,,,239,361.1,364.1,300.1,121,4,8
9,Chris Warren*,SEA,RB,27,16,16,0,0,0,0,0,310,1346,4.34,15,50,35,247,7.06,1,5,3,16,,,249,284.3,293.3,266.8,117,4,9
10,Robert Brooks,GNB,WR,25,16,16,0,0,0,0,0,4,21,5.25,0,167,102,1497,14.68,13,0,,13,,,230,331.8,334.8,280.8,112,5,10
11,Carl Pickens*,CIN,WR,25,16,16,0,0,0,0,0,1,6,6.00,0,168,99,1234,12.46,17,1,,17,,,226,325.0,328.0,275.5,108,6,11
12,Scott Mitchell,DET,QB,27,16,16,346,583,4338,32,12,36,104,2.89,4,0,0,0,,0,8,3,4,,1,308,307.9,328.9,319.9,105,2,12
13,Ricky Watters*,PHI,RB,26,16,16,0,0,0,0,0,337,1273,3.78,11,93,62,434,7.00,1,6,3,12,,,237,298.7,307.7,267.7,105,5,13
14,Michael Irvin*,DAL,WR,29,16,16,0,0,0,0,0,0,0,,0,165,111,1603,14.44,10,1,1,10,,,218,329.3,333.3,273.8,101,7,14
15,Marshall Faulk*,IND,RB,22,16,16,0,0,0,0,0,289,1078,3.73,11,74,56,475,8.48,3,8,4,14,,,231,287.3,297.3,259.3,99,6,15
16,Brett Perriman,DET,WR,30,16,16,0,0,0,0,0,5,48,9.60,0,179,108,1488,13.78,9,1,1,9,1,,208,315.6,319.6,261.6,90,8,16
17,Derek Loville,SFO,RB,27,16,16,0,0,0,0,0,218,723,3.32,10,110,87,662,7.61,3,1,1,13,1,,217,303.5,310.5,260.0,85,7,17
