Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
381,Sedrick Shaw,2TM,RB,26,4,0,0,0,0,0,0,7,22,3.14,1,3,3,4,1.33,0,1,,1,,,9,11.6,11.6,10.1,,121,
382,Daimon Shelton,JAX,RB,27,16,9,0,0,0,0,0,1,2,2.00,0,13,12,87,7.25,0,0,,0,,,9,20.9,20.9,14.9,,120,
383,Brandon Stokley,BAL,WR,23,2,0,0,0,0,0,0,0,0,,0,8,1,28,28.00,1,0,,1,,,9,9.8,9.8,9.3,,137,
384,Quinn Early,NYJ,WR,34,16,3,0,0,0,0,0,0,0,,0,13,6,83,13.83,0,0,,0,,,8,14.3,14.3,11.3,,139,
385,Mitch Lyons,PIT,TE,29,14,2,0,0,0,0,0,0,0,,0,13,8,81,10.13,0,0,,0,,,8,16.1,16.1,12.1,,62,
386,Aaron Pierce,BAL,TE,30,10,8,0,0,0,0,0,0,0,,0,21,11,102,9.27,0,1,1,0,,,8,19.2,23.2,13.7,,61,
387,Walter Rasby,DET,TE,27,16,6,0,0,0,0,0,0,0,,0,5,3,19,6.33,1,0,,1,,,8,10.9,10.9,9.4,,63,
388,Blake Spence,NYJ,TE,24,10,0,0,0,0,0,0,0,0,,0,4,3,15,5.00,1,0,,1,,,8,10.5,10.5,9.0,,64,
389,Chris Walsh,MIN,WR,31,16,1,0,0,0,0,0,0,0,,0,3,2,24,12.00,1,0,,1,,,8,10.4,10.4,9.4,,138,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
390,Eric Zeier,TAM,QB,27,2,1,32,55,270,0,1,3,7,2.33,0,0,0,0,,0,1,1,0,,,8,7.5,9.5,8.5,,62,
391,Brian Alford,NYG,WR,24,2,0,0,0,0,0,0,0,0,,0,5,1,7,7.00,1,0,,1,,,7,7.7,7.7,7.2,,142,
392,John Davis,TAM,TE,26,16,0,0,0,0,0,0,0,0,,0,2,2,7,3.50,1,0,,1,,,7,8.7,8.7,7.7,,68,
393,Patrick Hape,TAM,TE,25,15,1,0,0,0,0,0,0,0,,0,5,5,12,2.40,1,0,,1,,,7,12.2,12.2,9.7,,65,
394,Matt Hasselbeck,GNB,QB,24,16,0,3,10,41,1,0,6,15,2.50,0,0,0,0,,0,1,,0,,,7,7.1,7.1,7.1,,63,
395,Kamil Loud,BUF,WR,23,7,0,0,0,0,0,0,0,0,,0,9,6,66,11.00,0,0,,0,,,7,12.6,12.6,9.6,,143,
396,Wane McGarity,DAL,WR,23,5,1,0,0,0,0,0,0,0,,0,19,7,70,10.00,0,0,,0,,,7,14.0,14.0,10.5,,140,
397,Kevin McLeod,TAM,RB,25,7,0,0,0,0,0,0,0,0,,0,3,2,5,2.50,1,0,,1,,,7,8.5,8.5,7.5,,124,
398,Itula Mili,SEA,TE,26,16,1,0,0,0,0,0,0,0,,0,10,5,28,5.60,1,1,1,1,,,7,11.8,12.8,9.3,,66,
399,Ed Perry,MIA,TE,25,16,1,0,0,0,0,0,0,0,,0,4,3,8,2.67,1,0,,1,,,7,9.8,9.8,8.3,,67,
400,Rod Rutledge,NWE,TE,24,16,2,0,0,0,0,0,0,0,,0,12,7,66,9.43,0,1,,0,,,7,13.6,13.6,10.1,,69,
401,Alvis Whitted,JAX,WR,25,14,1,0,0,0,0,0,1,9,9.00,0,4,0,0,,0,0,,1,,,7,6.9,6.9,6.9,,141,
402,Amos Zereoue,PIT,RB,23,8,0,0,0,0,0,0,18,48,2.67,0,2,2,17,8.50,0,0,,0,,,7,8.5,8.5,7.5,,125,
403,Mike Bartrum,NWE,TE,29,16,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,1,,1,,,6,7.1,7.1,6.6,,71,
404,Robert Chancey,DAL,RB,27,3,0,0,0,0,0,0,14,57,4.07,0,0,0,0,,0,0,,0,,,6,5.7,5.7,5.7,,131,
405,Mark Chmura,GNB,TE,30,2,2,0,0,0,0,0,0,0,,0,9,5,55,11.00,0,0,,0,,,6,10.5,10.5,8.0,,74,
406,Ryan Collins,BAL,TE,24,4,3,0,0,0,0,0,0,0,,0,9,4,62,15.50,0,0,,0,,,6,10.2,10.2,8.2,,70,
407,Howard Cross,NYG,TE,32,16,15,0,0,0,0,0,0,0,,0,18,9,55,6.11,0,0,,0,,,6,14.5,14.5,10.0,,75,
408,Jerry Ellison,NWE,RB,28,12,0,0,0,0,0,0,2,10,5.00,0,4,4,50,12.50,0,0,,0,,,6,10.0,10.0,8.0,,129,
409,Chris Howard,JAX,RB,24,12,0,0,0,0,0,0,13,55,4.23,0,3,1,8,8.00,0,0,,0,,,6,7.3,7.3,6.8,,126,
410,Desmond Howard,2TM,,29,13,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,1,,,6,6.0,6.0,6.0,,144,
411,Terry Jackson,SFO,RB,23,16,0,0,0,0,0,0,15,75,5.00,0,3,3,6,2.00,0,1,1,0,,,6,9.1,10.1,7.6,,127,
412,Charles Jordan,2TM,WR,30,8,1,0,0,0,0,0,0,0,,0,10,3,60,20.00,0,1,,0,,,6,9.0,9.0,7.5,,145,
413,Billy Miller,DEN,TE,22,10,0,0,0,0,0,0,0,0,,0,10,5,59,11.80,0,0,,0,,,6,10.9,10.9,8.4,,73,
414,Scott Mitchell,BAL,QB,31,2,2,24,56,236,1,4,1,1,1.00,0,0,0,0,,0,1,,0,,,6,5.5,9.5,9.5,,65,
415,Charlie Rogers,SEA,,23,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,3,,1,,,6,6.0,6.0,6.0,,130,
416,Vinny Testaverde,NYJ,QB,36,1,1,10,15,96,1,1,0,0,,0,0,0,0,,0,0,,0,,,6,5.8,6.8,6.8,,64,
417,Kevin Turner,PHI,RB,30,8,7,0,0,0,0,0,6,15,2.50,0,14,9,46,5.11,0,1,,0,,,6,15.1,15.1,10.6,,128,
418,Josh Wilcox,NOR,TE,25,8,4,0,0,0,0,0,0,0,,0,7,6,61,10.17,0,0,,0,,,6,12.1,12.1,9.1,,72,
419,John Avery,2TM,RB,23,7,0,0,0,0,0,0,5,21,4.20,0,9,4,24,6.00,0,0,,0,,,5,8.5,8.5,6.5,,134,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
420,Tony Cline,2TM,TE,28,10,0,0,0,0,0,0,0,0,,0,5,4,45,11.25,0,0,,0,,,5,8.5,8.5,6.5,,76,
421,Mark Harris,SFO,WR,29,16,2,0,0,0,0,0,0,0,,0,14,6,66,11.00,0,1,1,0,,,5,10.6,11.6,7.6,,146,
422,Andy McCullough,ARI,WR,24,2,0,0,0,0,0,0,0,0,,0,6,3,45,15.00,0,0,,0,,,5,7.5,7.5,6.0,,147,
423,Brian Milne,2TM,RB,26,11,1,0,0,0,0,0,3,30,10.00,0,0,0,0,,0,0,,0,1,,5,5.0,5.0,5.0,,133,
424,Harold Shaw,NWE,RB,25,8,0,0,0,0,0,0,9,23,2.56,0,3,2,31,15.50,0,0,,0,,,5,7.4,7.4,6.4,,132,
425,Greg Comella,NYG,RB,24,16,3,0,0,0,0,0,1,0,0.00,0,10,8,39,4.88,0,0,,0,,,4,11.9,11.9,7.9,,137,
426,Zola Davis,CLE,WR,24,6,1,0,0,0,0,0,0,0,,0,8,2,38,19.00,0,0,,0,,,4,5.8,5.8,4.8,,149,
427,Keith Elias,IND,RB,27,14,0,0,0,0,0,0,13,28,2.15,0,5,4,16,4.00,0,0,,0,,,4,8.4,8.4,6.4,,135,
428,Hunter Goodwin,MIA,TE,27,15,5,0,0,0,0,0,0,0,,0,10,8,55,6.88,0,1,1,0,,,4,11.5,12.5,7.5,,77,
429,Lennox Gordon,BUF,RB,21,8,0,0,0,0,0,0,11,38,3.45,0,0,0,0,,0,0,,0,,,4,3.8,3.8,3.8,,139,
430,Paul Justin,STL,QB,31,10,0,9,14,91,0,0,5,-1,-0.20,0,0,0,0,,0,0,,0,,,4,3.5,3.5,3.5,,66,
431,Joey Kent,TEN,WR,25,8,0,0,0,0,0,0,0,0,,0,6,3,42,14.00,0,0,,0,,,4,7.2,7.2,5.7,,148,
432,Stacey Mack,JAX,RB,24,12,0,0,0,0,0,0,7,40,5.71,0,0,0,0,,0,0,,0,,,4,4.0,4.0,4.0,,136,
433,Travis McGriff,DEN,WR,23,14,0,0,0,0,0,0,0,0,,0,7,3,37,12.33,0,1,,0,,,4,6.7,6.7,5.2,,150,
434,David Palmer,MIN,WR,27,8,2,0,0,0,0,0,3,12,4.00,0,7,4,25,6.25,0,1,,0,,,4,7.7,7.7,5.7,,151,
