,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,1,Marshall Faulk*+,STL,RB,27,14,14,0,0,0,0,0,253,1359,5.37,18,113,81,830,10.25,8,0,,26,2,,379,459.9,465.9,419.4,228,1,1
1,2,Edgerrin James*,IND,RB,22,16,16,0,0,0,0,0,387,1709,4.42,13,87,63,594,9.43,5,5,4,18,1,,332,395.3,405.3,363.8,181,2,2
2,3,Jeff Garcia*,SFO,QB,30,16,16,355,561,4278,31,10,72,414,5.75,4,0,0,0,,0,7,1,4,,1,341,340.5,357.5,350.5,149,1,3
3,4,Daunte Culpepper*,MIN,QB,23,16,16,297,474,3937,33,16,89,470,5.28,7,0,0,0,,0,11,6,7,,2,338,338.5,366.5,354.5,147,2,4
4,5,Eddie George*+,TEN,RB,27,16,16,0,0,0,0,0,403,1509,3.74,14,65,50,453,9.06,2,5,4,16,,,284,334.2,344.2,309.2,133,3,5
5,6,Randy Moss*+,MIN,WR,23,16,16,0,0,0,0,0,3,5,1.67,0,129,77,1437,18.66,15,2,,15,1,,236,313.2,316.2,274.7,125,1,6
6,7,Marvin Harrison*,IND,WR,28,16,16,0,0,0,0,0,0,0,,0,169,102,1413,13.85,14,2,,14,,,225,327.3,330.3,276.3,114,2,7
7,8,Tony Gonzalez*+,KAN,TE,24,16,16,0,0,0,0,0,0,0,,0,150,93,1203,12.94,9,0,,9,,,174,267.3,270.3,220.8,113,1,8
8,9,Terrell Owens*+,SFO,WR,27,14,13,0,0,0,0,0,3,11,3.67,0,146,97,1451,14.96,13,3,1,13,1,,224,321.2,325.2,272.7,113,3,9
9,10,Rod Smith*,DEN,WR,30,16,16,0,0,0,0,0,6,99,16.50,1,173,100,1602,16.02,8,1,1,9,,,222,322.1,326.1,272.1,111,4,10
10,11,Rich Gannon*+,OAK,QB,35,16,16,284,473,3430,28,11,89,529,5.94,4,0,0,0,,0,9,5,4,1,,296,296.1,318.1,307.1,104,3,11
11,12,Peyton Manning*,IND,QB,24,16,16,357,571,4413,33,15,37,116,3.14,1,0,0,0,,0,5,3,1,,2,294,294.1,318.1,309.1,102,4,12
12,13,Mike Anderson,DEN,RB,27,16,12,0,0,0,0,0,297,1487,5.01,15,32,23,169,7.35,0,4,4,15,1,,250,272.6,282.6,261.1,99,4,13
13,14,Donovan McNabb*,PHI,QB,24,16,16,330,569,3365,21,13,86,629,7.31,6,4,2,5,2.50,0,7,4,6,,1,286,288.0,311.0,300.0,94,5,14
14,15,Robert Smith*,MIN,RB,28,16,16,0,0,0,0,0,295,1521,5.16,7,44,36,348,9.67,3,4,1,10,,,245,280.9,287.9,262.9,94,5,15
15,16,Fred Taylor,JAX,RB,24,13,13,0,0,0,0,0,292,1399,4.79,12,53,36,240,6.67,2,4,2,14,,,244,279.9,287.9,261.9,93,6,16
16,17,Derrick Alexander,KAN,WR,29,16,16,0,0,0,0,0,3,45,15.00,0,144,78,1391,17.83,10,0,,10,,,204,281.6,284.6,242.6,93,5,17
17,18,Ahman Green,GNB,RB,23,16,11,0,1,0,0,0,263,1175,4.47,10,99,73,559,7.66,3,6,4,13,,,243,316.4,326.4,279.9,92,7,18
