,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
320,311,Mike Jones,MIN,TE,25,16,0,0,0,0,0,0,0,0,,0,2,8,4.00,2,0,,2,,,13,14.8,14.8,13.8,,47,
321,312,Tim Jorden,PHO,TE,25,16,9,0,0,0,0,0,0,0,,0,15,127,8.47,0,0,,0,,,13,27.7,30.7,20.2,,49,
322,313,Butch Rolle,BUF,TE,27,16,0,0,0,0,0,0,0,0,,0,3,10,3.33,2,0,,2,,,13,16.0,16.0,14.5,,46,
323,314,Derrick Walker,SDG,TE,24,16,16,0,0,0,0,0,0,0,,0,20,134,6.70,0,0,,0,,,13,33.4,36.4,23.4,,44,
324,315,Tommie Agee,DAL,RB,27,16,0,0,0,0,0,0,9,20,2.22,1,7,43,6.14,0,0,,1,,,12,19.3,19.3,15.8,,107,
325,316,Chris Dressel,NYJ,TE,30,15,6,0,0,0,0,0,0,0,,0,17,122,7.18,0,0,,0,,,12,29.2,32.2,20.7,,50,
326,317,Donald Hollas,CIN,QB,24,8,1,32,55,310,1,4,12,66,5.50,0,0,0,,0,3,,0,,,12,12.0,20.5,16.0,,47,
327,318,Rick Fenney,MIN,RB,27,11,0,0,0,0,0,0,23,99,4.30,0,2,11,5.50,0,0,,0,,,11,13.0,13.0,12.0,,108,
328,319,Keith Jennings,CHI,TE,25,10,3,0,0,0,0,0,0,0,,0,8,109,13.63,0,0,,0,,,11,18.9,21.9,14.9,,51,
329,320,Stephone Paige,KAN,WR,30,3,2,0,0,0,0,0,0,0,,0,9,111,12.33,0,0,,0,,,11,20.1,23.1,15.6,,113,
330,321,Vernon Turner,RAM,WR,24,15,0,0,0,0,0,0,7,44,6.29,0,3,41,13.67,1,4,,1,,,11,13.5,15.5,12.0,,114,
331,322,Tim Worley,PIT,RB,25,2,0,0,0,0,0,0,22,117,5.32,0,0,0,,0,1,,0,,,11,10.7,14.2,10.7,,109,
332,323,Leonard Harris,HOU,WR,31,9,0,0,0,0,0,0,0,0,,0,8,101,12.63,0,0,,0,,,10,18.1,21.1,14.1,,115,
333,324,Jeff Rutledge,WAS,QB,34,16,0,11,22,189,1,0,8,-13,-1.63,0,0,0,,0,0,,0,,,10,10.3,10.3,10.3,,48,
334,325,Troy Stradford,KAN,RB,27,10,0,0,0,0,0,0,1,7,7.00,0,9,91,10.11,0,0,,0,,,10,18.8,18.8,14.3,,111,
335,326,Steve Tasker*,BUF,WR,29,16,0,0,0,0,0,0,0,0,,0,2,39,19.50,1,0,,1,,,10,11.9,11.9,10.9,,116,
336,327,Ernie Thompson,RAM,RB,22,4,0,0,0,0,0,0,2,9,4.50,0,2,35,17.50,1,0,,1,,,10,12.4,12.4,11.4,,110,
337,328,Eric Ball,CIN,RB,25,6,4,0,0,0,0,0,10,21,2.10,1,3,17,5.67,0,1,,1,,,9,11.8,12.3,10.3,,114,
338,329,Jeff Carlson,TAM,QB,25,3,1,31,65,404,1,6,5,25,5.00,0,0,0,,0,2,,0,,,9,8.7,18.7,14.7,,50,
339,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
340,330,Terrence Flagler,PHO,RB,27,7,0,0,0,0,0,0,1,7,7.00,0,8,85,10.63,0,0,,0,,,9,17.2,17.2,13.2,,112,
341,331,Bob Mrosko,IND,TE,26,11,4,0,0,0,0,0,0,0,,0,8,90,11.25,0,0,,0,,,9,17.0,17.0,13.0,,53,
342,332,Don Overton,DET,RB,24,14,0,0,0,0,0,0,14,59,4.21,0,4,38,9.50,0,1,,0,,,9,12.7,13.2,10.7,,115,
343,333,Allen Rice,GNB,RB,29,6,3,0,0,0,0,0,30,100,3.33,0,2,10,5.00,0,2,,0,,,9,11.0,15.0,10.0,,113,
344,334,Mickey Shuler,PHI,TE,35,4,0,0,0,0,0,0,0,0,,0,6,91,15.17,0,0,,0,,,9,15.1,15.1,12.1,,52,
345,335,Paul Skansi,SEA,WR,30,5,0,0,0,0,0,0,0,0,,0,9,96,10.67,0,1,,0,,,9,17.6,18.1,13.1,,117,
