rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
1,Terrell Davis,DEN,RB,26,16,16,0,0,0,0,0,392,2008,5.12,21,38.0,25,217,8.68,2,2.0,2.0,23,,,357.0,381.5,389.5,369.0,233.0,1,1.0
2,Jamal Anderson,ATL,RB,26,16,16,0,2,0,0,0,410,1846,4.5,14,46.0,27,319,11.81,2,5.0,2.0,16,1.0,,311.0,337.5,345.5,324.0,187.0,2,2.0
3,Steve Young,SFO,QB,37,15,15,322,517,4170,36,12,70,454,6.49,6,0.0,0,0,,0,9.0,6.0,6,,4.0,364.0,364.2,388.2,376.2,168.0,1,3.0
4,Marshall Faulk,IND,RB,25,16,15,0,0,0,0,0,324,1319,4.07,6,106.0,86,908,10.56,4,3.0,2.0,10,,,279.0,364.7,372.7,321.7,155.0,3,4.0
5,Fred Taylor,JAX,RB,22,15,12,0,0,0,0,0,264,1223,4.63,14,53.0,44,421,9.57,3,3.0,2.0,17,,,262.0,306.4,314.4,284.4,139.0,4,5.0
6,Garrison Hearst,SFO,RB,27,16,16,0,0,0,0,0,310,1570,5.06,7,56.0,39,535,13.72,2,4.0,3.0,9,1.0,,261.0,299.5,308.5,280.0,137.0,5,6.0
7,Randy Moss,MIN,WR,21,16,11,0,0,0,0,0,1,4,4.0,0,124.0,69,1313,19.03,17,2.0,,17,2.0,,238.0,306.7,309.7,272.2,113.0,1,7.0
8,Emmitt Smith,DAL,RB,29,16,16,0,0,0,0,0,319,1332,4.18,13,32.0,27,175,6.48,2,3.0,2.0,15,,,237.0,263.7,271.7,250.2,113.0,6,8.0
9,Antonio Freeman,GNB,WR,26,15,15,0,0,0,0,0,3,5,1.67,0,153.0,84,1424,16.95,14,0.0,,14,1.0,,229.0,312.9,315.9,270.9,105.0,2,9.0
10,Ricky Watters,SEA,RB,29,16,16,1,1,1,1,0,319,1239,3.88,9,73.0,52,373,7.17,0,4.0,2.0,9,1.0,,217.0,269.2,277.2,243.2,94.0,7,10.0
11,Curtis Martin,NYJ,RB,25,15,15,0,0,0,0,0,369,1287,3.49,8,57.0,43,365,8.49,1,5.0,1.0,9,,,217.0,260.2,267.2,238.7,94.0,8,11.0
12,Randall Cunningham,MIN,QB,35,15,14,259,425,3704,34,10,32,132,4.13,1,1.0,1,-3,-3.0,0,2.0,1.0,1,1.0,2.0,287.0,288.1,305.1,297.6,91.0,2,12.0
13,Robert Edwards,NWE,RB,24,16,15,0,0,0,0,0,291,1115,3.83,9,52.0,35,331,9.46,3,5.0,1.0,12,,,215.0,249.6,256.6,232.1,91.0,9,13.0
14,Terrell Owens,SFO,WR,25,16,10,0,0,0,0,0,4,53,13.25,1,104.0,67,1097,16.37,14,1.0,1.0,15,1.0,,205.0,272.0,276.0,238.5,81.0,3,14.0
15,Barry Sanders,DET,RB,30,16,16,0,0,0,0,0,343,1491,4.35,4,57.0,37,289,7.81,0,3.0,2.0,4,,,198.0,235.0,243.0,216.5,75.0,10,15.0
16,Eddie George,TEN,RB,25,16,16,0,0,0,0,0,348,1294,3.72,5,49.0,37,310,8.38,1,7.0,1.0,6,1.0,,196.0,233.4,240.4,214.9,73.0,11,16.0
17,Robert Smith,MIN,RB,26,14,14,0,0,0,0,0,249,1187,4.77,6,35.0,28,291,10.39,2,1.0,1.0,8,,,194.0,221.8,228.8,207.8,70.0,12,17.0
18,Shannon Sharpe,DEN,TE,30,16,16,0,0,0,0,0,0,0,,0,107.0,64,768,12.0,10,0.0,,10,,,137.0,200.8,203.8,168.8,70.0,1,18.0
19,Brett Favre,GNB,QB,29,16,16,347,551,4212,31,23,40,133,3.33,1,0.0,0,0,,0,8.0,2.0,1,,1.0,264.0,263.8,294.8,286.8,68.0,3,19.0
20,Eric Moulds,BUF,WR,25,16,15,0,0,0,0,0,0,0,,0,116.0,67,1368,20.42,9,0.0,,9,,,191.0,257.8,260.8,224.3,66.0,4,20.0
21,Duce Staley,PHI,RB,23,16,13,0,0,0,0,0,258,1065,4.13,5,70.0,57,432,7.58,1,2.0,,6,,,186.0,242.7,248.7,214.2,62.0,13,21.0
22,Keyshawn Johnson,NYJ,WR,26,16,16,0,0,0,0,0,2,60,30.0,1,149.0,83,1131,13.63,10,0.0,,11,,,185.0,268.1,271.1,226.6,61.0,5,22.0
23,Terance Mathis,ATL,WR,31,16,16,0,0,0,0,0,1,-6,-6.0,0,114.0,64,1136,17.75,11,0.0,,11,,,179.0,243.0,246.0,211.0,55.0,6,23.0
24,Joey Galloway,SEA,WR,27,16,16,0,0,0,0,0,9,26,2.89,0,132.0,65,1047,16.11,10,1.0,1.0,12,,,177.0,242.3,246.3,209.8,53.0,7,24.0
25,Adrian Murrell,ARI,RB,28,15,14,0,0,0,0,0,274,1042,3.8,8,27.0,18,169,9.39,2,6.0,3.0,10,,,175.0,193.1,202.1,184.1,52.0,14,25.0
26,Steve McNair,TEN,QB,25,16,16,289,492,3228,15,10,77,559,7.26,4,0.0,0,0,,0,5.0,1.0,4,,,247.0,247.0,264.0,257.0,51.0,4,26.0
27,Cris Carter,MIN,WR,33,16,16,0,0,0,0,0,1,-1,-1.0,0,125.0,78,1011,12.96,12,0.0,,12,,,173.0,251.0,254.0,212.0,49.0,8,27.0
28,Vinny Testaverde,NYJ,QB,35,14,13,259,421,3256,29,7,24,104,4.33,1,0.0,0,0,,0,7.0,3.0,1,,,243.0,242.6,258.6,249.6,47.0,5,28.0
29,Rod Smith,DEN,WR,28,16,16,1,1,14,0,0,6,63,10.5,0,139.0,86,1222,14.21,6,0.0,,7,,,171.0,257.1,260.1,214.1,47.0,9,29.0
