,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
0,1,Brett Favre,GNB,QB,27,16,16,325,543,3899,39,13,49,136,2.78,2,0.0,0,0,,0,11.0,4.0,2,,3.0,310.0,309.6,332.6,322.6,154.0,1,1.0
1,2,Terry Allen,WAS,RB,28,16,16,0,0,0,0,0,347,1353,3.9,21,42.0,32,194,6.06,0,4.0,2.0,21,,,277.0,308.7,316.7,292.7,150.0,1,2.0
2,3,Terrell Davis,DEN,RB,24,16,16,0,0,0,0,0,345,1538,4.46,13,52.0,36,310,8.61,2,5.0,3.0,15,,,269.0,304.8,313.8,286.8,142.0,2,3.0
3,4,Vinny Testaverde,BAL,QB,33,16,16,325,549,4177,33,19,34,188,5.53,2,0.0,0,0,,0,9.0,7.0,2,1.0,3.0,286.0,285.9,317.9,304.9,130.0,2,4.0
4,5,Ricky Watters,PHI,RB,27,16,16,0,0,0,0,0,353,1411,4.0,13,70.0,51,444,8.71,0,5.0,5.0,13,,,254.0,304.5,315.5,279.0,127.0,3,5.0
5,6,Curtis Martin,NWE,RB,23,16,15,0,0,0,0,0,316,1152,3.65,14,52.0,46,333,7.24,3,4.0,3.0,17,1.0,,247.0,292.5,301.5,269.5,120.0,4,6.0
6,7,Mark Brunell,JAX,QB,26,16,16,353,557,4367,19,20,80,396,4.95,3,0.0,0,0,,0,14.0,3.0,3,2.0,3.0,272.0,272.3,301.3,292.3,117.0,3,7.0
7,8,Emmitt Smith,DAL,RB,27,15,15,0,0,0,0,0,327,1204,3.68,12,57.0,47,249,5.3,3,5.0,2.0,15,,,231.0,278.3,286.3,254.8,105.0,5,8.0
8,9,Shannon Sharpe,DEN,TE,28,15,15,0,0,0,0,0,0,0,,0,117.0,80,1062,13.28,10,1.0,1.0,10,,,164.0,244.2,248.2,204.2,104.0,1,9.0
9,10,Barry Sanders,DET,RB,28,16,16,0,1,0,0,1,307,1553,5.06,11,32.0,24,147,6.13,0,4.0,2.0,11,,,230.0,254.0,263.0,243.0,103.0,6,10.0
10,11,Jeff Blake,CIN,QB,26,16,16,308,549,3624,24,14,72,317,4.4,2,0.0,0,0,,0,7.0,3.0,2,,1.0,253.0,252.7,275.7,266.7,97.0,4,11.0
