rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
306,Wendell Davis,CHI,WR,27,5,4,0,0,0,0,0,0,0,,0,20.0,12,132,11.0,0,0.0,,0,,,13.0,25.2,28.2,19.2,,105,
307,Tyrone Montgomery,RAI,RB,23,12,0,0,0,0,0,0,37,106,2.86,0,23.0,10,43,4.3,0,2.0,,0,,,13.0,22.9,26.9,17.9,,107,
308,Walter Reeves,PHO,TE,28,16,15,0,0,0,0,0,0,0,,0,16.0,9,67,7.44,1,0.0,,1,,,13.0,21.7,21.7,17.2,,43,
309,Butch Rolle,PHO,TE,29,16,5,0,0,0,0,0,0,0,,0,14.0,10,67,6.7,1,0.0,,1,,,13.0,22.7,22.7,17.7,,44,
310,Lawyer Tillman,CLE,WR,27,7,0,0,0,0,0,0,0,0,,0,14.0,5,68,13.6,1,0.0,,1,,,13.0,17.8,17.8,15.3,,107,
311,Andre Ware,DET,QB,25,5,2,20,45,271,1,2,7,23,3.29,0,,0,0,,0,0.0,,0,,,13.0,13.1,15.1,15.1,,52,
312,Sanjay Beach,SFO,WR,27,9,0,0,0,0,0,0,0,0,,0,10.0,5,59,11.8,1,0.0,,1,,,12.0,16.9,16.9,14.4,,109,
313,Eric Blount,PHO,WR,23,6,0,0,0,0,0,0,5,28,5.6,1,6.0,5,36,7.2,0,0.0,,1,,,12.0,17.4,17.4,14.9,,108,
314,Andrew Glover,RAI,TE,26,15,0,0,0,0,0,0,0,0,,0,6.0,4,55,13.75,1,0.0,,1,,,12.0,15.5,15.5,13.5,,46,
315,Derek Tennell,MIN,TE,29,16,6,0,0,0,0,0,0,0,,0,18.0,15,122,8.13,0,0.0,,0,,,12.0,27.2,30.2,19.7,,45,
316,Mike Tomczak,PIT,QB,31,7,1,29,54,398,2,5,5,-4,-0.8,0,,0,0,,0,2.0,,0,,,12.0,11.5,20.5,16.5,,54,
317,Steve Walsh,NOR,QB,27,2,1,20,38,271,2,3,4,-4,-1.0,0,,0,0,,0,0.0,,0,,,12.0,12.4,15.4,15.4,,53,
318,Randy Baldwin,CLE,RB,26,14,0,0,0,0,0,0,18,61,3.39,0,1.0,1,5,5.0,1,2.0,,1,,,11.0,11.6,12.6,11.1,,108,
319,Fred Baxter,NYJ,TE,22,7,0,0,0,0,0,0,0,0,,0,4.0,3,48,16.0,1,0.0,,1,,,11.0,13.8,13.8,12.3,,47,
320,Leonard Harris,HOU,WR,33,4,2,0,0,0,0,0,0,0,,0,10.0,4,53,13.25,1,0.0,,1,,,11.0,15.3,15.3,13.3,,110,
321,Chris Miller,ATL,QB,28,3,2,32,66,345,1,3,2,11,5.5,0,,0,0,,0,2.0,,0,,,11.0,10.9,17.9,13.9,,55,
322,Dave Moore,TAM,TE,24,15,1,0,1,0,0,0,0,0,,0,8.0,4,47,11.75,1,0.0,,1,,,11.0,14.7,14.7,12.7,,48,
323,Kenyon Rasheed,NYG,RB,23,5,3,0,0,0,0,0,9,42,4.67,1,1.0,1,3,3.0,0,0.0,,1,,,11.0,11.5,11.5,11.0,,109,
324,Adrian Cooper,PIT,TE,25,14,3,0,0,0,0,0,0,0,,0,18.0,9,112,12.44,0,1.0,,0,,,10.0,19.2,22.7,14.7,,50,
325,Marcus Dowdell,NOR,WR,23,9,1,0,0,0,0,0,0,0,,0,10.0,6,46,7.67,1,1.0,,1,,,10.0,15.6,16.1,12.6,,113,
326,Keith McKeller,BUF,WR,29,8,1,0,0,0,0,0,0,0,,0,4.0,3,35,11.67,1,0.0,,1,,,10.0,12.5,12.5,11.0,,114,
327,Reggie Rembert,CIN,WR,27,3,0,0,0,0,0,0,0,0,,0,13.0,8,101,12.63,0,0.0,,0,,,10.0,18.1,21.1,14.1,,111,
328,Doug Thomas,SEA,WR,24,16,0,0,0,0,0,0,1,4,4.0,0,26.0,11,95,8.64,0,0.0,,0,,,10.0,20.9,20.9,15.4,,112,
329,Frank Wycheck,WAS,TE,22,9,7,0,0,0,0,0,0,0,,0,24.0,16,113,7.06,0,1.0,,0,,,10.0,26.3,29.8,18.3,,49,
330,Chris Gedney,CHI,TE,23,7,4,0,0,0,0,0,0,0,,0,16.0,10,98,9.8,0,1.0,,0,,,9.0,18.8,19.3,13.8,,52,
331,Robert Green,CHI,RB,23,16,0,0,0,0,0,0,15,29,1.93,0,17.0,13,63,4.85,0,0.0,,0,,,9.0,22.2,22.2,15.7,,111,
332,Hassan Jones,KAN,WR,29,8,0,0,0,0,0,0,0,0,,0,13.0,7,91,13.0,0,0.0,,0,,,9.0,16.1,16.1,12.6,,115,
333,Kevin Mack,CLE,RB,31,4,0,0,0,0,0,0,10,33,3.3,1,,0,0,,0,0.0,,1,,,9.0,9.3,9.3,9.3,,110,
334,Mike Tice,MIN,TE,34,16,12,0,0,0,0,0,0,0,,0,8.0,6,39,6.5,1,1.0,,1,,,9.0,14.9,15.4,11.9,,51,
335,Ron Wolfley,CLE,RB,31,16,5,0,0,0,0,0,0,0,,0,8.0,5,25,5.0,1,0.0,,1,,,9.0,13.5,13.5,11.0,,112,
336,Charles Arbuckle,IND,TE,25,16,2,0,0,0,0,0,0,0,,0,23.0,15,90,6.0,0,1.0,,0,,,8.0,23.0,23.5,15.5,,53,
337,Rob Carpenter,NYJ,WR,25,16,0,0,0,0,0,0,0,0,,0,12.0,6,83,13.83,0,0.0,,0,,,8.0,14.3,14.3,11.3,,116,
338,Wesley Carroll,CIN,WR,26,12,0,0,0,0,0,0,0,0,,0,26.0,6,81,13.5,0,0.0,,0,,,8.0,14.1,14.1,11.1,,118,
339,Rudy Harris,TAM,RB,22,10,2,0,0,0,0,0,7,29,4.14,0,8.0,4,48,12.0,0,0.0,,0,,,8.0,11.7,11.7,9.7,,114,
340,Tracy Johnson,SEA,RB,27,16,1,0,0,0,0,0,2,8,4.0,0,3.0,3,15,5.0,1,0.0,,1,,,8.0,11.3,11.3,9.8,,113,
341,Tony Kimbrough,DEN,WR,23,15,0,0,0,0,0,0,0,0,,0,15.0,8,79,9.88,0,0.0,,0,,,8.0,15.9,15.9,11.9,,119,
342,Clarence Verdin,IND,WR,30,16,0,0,0,0,0,0,3,33,11.0,0,6.0,2,20,10.0,1,3.0,,1,,,8.0,10.3,11.8,9.3,,117,
343,Mike Dyal,2TM,TE,27,10,0,0,0,0,0,0,0,0,,0,15.0,7,83,11.86,0,1.0,,0,,,7.0,14.3,14.8,10.8,,54,
344,Charles Evans,MIN,RB,26,3,0,0,0,0,0,0,14,32,2.29,0,4.0,4,39,9.75,0,0.0,,0,,,7.0,11.1,11.1,9.1,,117,
345,Derrick Gainer,DAL,RB,27,11,0,0,0,0,0,0,9,29,3.22,0,7.0,6,37,6.17,0,0.0,,0,,,7.0,12.6,12.6,9.6,,118,
346,Maurice Johnson,PHI,TE,26,16,2,0,0,0,0,0,0,0,,0,16.0,10,81,8.1,0,1.0,,0,,,7.0,17.1,17.6,12.1,,55,
347,David Lang,RAM,RB,25,6,0,0,0,0,0,0,9,29,3.22,0,10.0,4,45,11.25,0,0.0,,0,,,7.0,11.4,11.4,9.4,,115,
348,Anthony McDowell,TAM,RB,25,4,3,0,0,0,0,0,2,6,3.0,0,13.0,8,26,3.25,1,2.0,,1,,,7.0,15.2,16.2,11.2,,116,
349,Jake Reed,MIN,WR,26,10,1,0,0,0,0,0,0,0,,0,10.0,5,65,13.0,0,0.0,,0,,,7.0,11.5,11.5,9.0,,121,
350,Robb Thomas,SEA,WR,27,16,0,0,0,0,0,0,0,0,,0,9.0,7,67,9.57,0,0.0,,0,,,7.0,13.7,13.7,10.2,,120,
351,Derek Brown,NYG,TE,23,16,0,0,0,0,0,0,0,0,,0,10.0,7,56,8.0,0,0.0,,0,,,6.0,12.6,12.6,9.1,,58,
352,Jeff Campbell,DET,WR,25,10,0,0,0,0,0,0,0,0,,0,10.0,7,55,7.86,0,0.0,,0,,,6.0,12.5,12.5,9.0,,125,
353,Aaron Cox,IND,WR,28,11,0,0,0,0,0,0,0,0,,0,5.0,4,59,14.75,0,0.0,,0,,,6.0,9.9,9.9,7.9,,123,
354,Scott Galbraith,DAL,TE,26,7,0,0,0,0,0,0,0,0,,0,1.0,1,1,1.0,1,0.0,,1,,,6.0,7.1,7.1,6.6,,57,
