,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
164,165,Marcus Allen,RAI,RB,31,8,2,1,2,11,1,0,63,287,4.56,2,15,131,8.73,0,1.0,,2,,,57.0,72.2,78.7,64.7,,55,
165,166,Flipper Anderson,RAM,WR,26,12,10,0,0,0,0,0,0,0,,0,32,530,16.56,1,2.0,,1,,,57.0,89.0,93.0,73.0,,63,
166,167,Chris Burkett,NYJ,WR,29,15,1,0,0,0,0,0,1,-2,-2.0,0,23,327,14.22,4,0.0,,4,,,57.0,79.5,82.5,68.0,,65,
167,168,Michael Timpson,NWE,WR,24,16,2,0,0,0,0,0,1,-4,-4.0,0,25,471,18.84,2,2.0,,2,,,57.0,81.7,85.7,69.2,,64,
168,169,Derrick Fenner,SEA,RB,24,11,7,0,0,0,0,0,91,267,2.93,4,11,72,6.55,0,2.0,,4,,,56.0,66.9,70.9,61.4,,56,
169,170,Randal Hill,2TM,WR,22,16,4,0,0,0,0,0,0,0,,0,43,495,11.51,1,0.0,,1,,,56.0,98.5,101.5,77.0,,66,
170,171,Robb Thomas,KAN,WR,25,15,12,0,0,0,0,0,0,0,,0,43,495,11.51,1,0.0,,1,,,56.0,98.5,101.5,77.0,,67,
171,172,Tony Paige,MIA,RB,29,16,16,0,0,0,0,0,10,25,2.5,0,57,469,8.23,1,1.0,,1,,,54.0,111.4,114.9,82.9,,57,
172,173,Keith Woodside,GNB,RB,27,16,12,0,0,0,0,0,84,326,3.88,1,22,185,8.41,0,3.0,,1,,,54.0,76.1,83.6,65.1,,58,
173,174,Nick Bell,RAI,RB,23,9,1,0,0,0,0,0,78,307,3.94,3,6,62,10.33,0,2.0,,3,,,53.0,58.9,62.9,55.9,,59,
174,175,Tony Martin,MIA,WR,26,16,0,0,0,0,0,0,0,0,,0,27,434,16.07,2,2.0,,2,,,53.0,80.4,84.4,66.9,,68,
175,176,Steve Beuerlein,DAL,QB,26,8,4,68,137,909,5,2,7,-14,-2.0,0,0,0,,0,0.0,,0,,,51.0,51.0,56.0,53.0,,36,
176,177,Darrin Nelson,MIN,RB,32,16,0,1,1,25,1,0,28,210,7.5,2,19,142,7.47,0,2.0,,2,,,50.0,69.2,76.2,59.7,,60,
177,178,Calvin Williams,PHI,WR,24,12,11,0,0,0,0,0,0,0,,0,33,326,9.88,3,1.0,,3,,,50.0,82.6,86.1,66.1,,69,
178,179,George Thomas,ATL,WR,27,12,6,0,0,0,0,0,0,0,,0,28,365,13.04,2,0.0,,2,,,49.0,76.5,79.5,62.5,,70,
179,180,Mike Farr,DET,WR,24,16,13,0,0,0,0,0,0,0,,0,42,431,10.26,1,1.0,,1,,,48.0,90.1,93.6,69.1,,71,
180,181,Steve Smith,RAI,RB,27,16,16,0,0,0,0,0,62,265,4.27,1,15,130,8.67,1,4.0,,2,,,48.0,62.5,70.5,55.0,,61,
181,182,Gary Anderson,TAM,RB,30,16,5,0,0,0,0,0,72,263,3.65,1,25,184,7.36,0,4.0,,1,,,47.0,71.7,79.7,59.2,,62,
182,183,Willie Drewrey,TAM,WR,28,16,0,0,0,0,0,0,0,0,,0,26,375,14.42,2,3.0,,2,,,47.0,72.5,77.0,59.5,,72,
183,184,Freeman McNeil,NYJ,RB,32,13,1,0,0,0,0,0,51,300,5.88,2,7,56,8.0,0,1.0,,2,,,47.0,53.6,57.1,50.1,,63,
184,185,Joe Morris,CLE,RB,31,16,4,0,0,0,0,0,93,289,3.11,2,13,76,5.85,0,2.0,,2,,,47.0,59.5,63.5,53.0,,64,
185,186,Anthony Thompson,PHO,RB,24,16,4,0,1,0,0,0,126,376,2.98,1,7,52,7.43,0,3.0,,1,,,46.0,52.8,57.3,49.3,,65,
186,187,Jon Vaughn,NWE,RB,21,16,2,1,2,13,1,0,31,146,4.71,2,9,89,9.89,0,1.0,,3,,,45.0,54.0,57.5,49.5,,66,
187,188,Jeff Chadwick,SEA,WR,31,12,0,0,0,0,0,0,0,0,,0,22,255,11.59,3,0.0,,3,,,44.0,65.5,68.5,54.5,,73,
188,189,Jackie Harris,GNB,TE,23,16,6,0,0,0,0,0,1,1,1.0,0,24,264,11.0,3,1.0,,3,,,44.0,67.5,71.0,55.5,,13,
189,190,Hassan Jones,MIN,WR,27,16,7,0,0,0,0,0,0,0,,0,32,384,12.0,1,1.0,,1,,,43.0,75.4,78.9,59.4,,74,
190,191,Todd McNair,KAN,RB,26,14,0,0,0,0,0,0,10,51,5.1,0,37,342,9.24,1,2.0,,1,,,43.0,80.3,84.3,61.8,,67,
191,192,Anthony Johnson,IND,RB,24,9,6,0,0,0,0,0,22,94,4.27,0,42,344,8.19,0,2.0,,0,,,42.0,83.8,87.8,62.8,,69,
