,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
0,1,Barry Sanders,DET,RB,29,16,16,0,0,0,0,0,335,2053,6.13,11,50.0,33,305,9.24,3,3.0,2.0,14,,,316.0,348.8,356.8,332.3,186.0,1,1.0
1,2,Terrell Davis,DEN,RB,25,15,15,0,0,0,0,0,369,1750,4.74,15,58.0,42,287,6.83,0,4.0,,15,3.0,,300.0,341.7,347.7,320.7,170.0,2,2.0
2,3,Dorsey Levens,GNB,RB,27,16,16,0,0,0,0,0,329,1435,4.36,7,67.0,53,370,6.98,5,5.0,2.0,12,1.0,,251.0,303.5,311.5,277.0,120.0,3,3.0
3,4,Brett Favre,GNB,QB,28,16,16,304,513,3867,35,16,58,187,3.22,1,0.0,0,0,,0,7.0,4.0,1,,1.0,281.0,281.4,307.4,297.4,96.0,1,4.0
4,5,Rob Moore,ARI,WR,29,16,16,0,0,0,0,0,0,0,,0,208.0,97,1584,16.33,8,0.0,,8,1.0,,208.0,305.4,308.4,256.9,95.0,1,5.0
5,6,Kordell Stewart,PIT,QB,25,16,16,236,440,3020,21,17,88,476,5.41,11,0.0,0,0,,0,6.0,4.0,11,,1.0,278.0,278.4,305.4,295.4,93.0,2,6.0
6,7,Jerome Bettis,PIT,RB,25,15,15,0,0,0,0,0,375,1665,4.44,7,24.0,15,110,7.33,2,6.0,5.0,9,,,222.0,236.5,247.5,229.0,91.0,4,7.0
7,8,Antonio Freeman,GNB,WR,25,16,16,0,0,0,0,0,1,14,14.0,0,137.0,81,1243,15.35,12,1.0,1.0,12,,,196.0,276.7,280.7,236.2,82.0,2,8.0
8,9,Napoleon Kaufman,OAK,RB,24,16,16,0,1,0,0,0,272,1294,4.76,6,50.0,40,403,10.08,2,7.0,4.0,8,,,210.0,249.7,259.7,229.7,80.0,5,9.0
9,10,Karim Abdul-Jabbar,MIA,RB,23,16,14,0,0,0,0,0,283,892,3.15,15,49.0,29,261,9.0,1,3.0,2.0,16,,,207.0,236.3,244.3,221.8,77.0,6,10.0
10,11,Rod Smith,DEN,WR,27,16,16,0,0,0,0,0,5,16,3.2,0,131.0,70,1180,16.86,12,3.0,1.0,12,,,190.0,259.6,263.6,224.6,76.0,3,11.0
11,12,Cris Carter,MIN,WR,32,16,16,0,0,0,0,0,0,0,,0,158.0,89,1069,12.01,13,3.0,1.0,13,3.0,,189.0,277.9,281.9,233.4,75.0,4,12.0
12,13,Yancey Thigpen,PIT,WR,28,16,15,0,0,0,0,0,1,3,3.0,0,149.0,79,1398,17.7,7,1.0,,7,1.0,,184.0,263.1,266.1,223.6,70.0,6,13.0
13,14,Joey Galloway,SEA,WR,26,15,15,0,0,0,0,0,9,72,8.0,0,147.0,72,1049,14.57,12,1.0,,12,,,184.0,256.1,259.1,220.1,70.0,5,14.0
14,15,Jeff George,OAK,QB,30,16,16,290,521,3917,29,9,17,44,2.59,0,1.0,0,0,,0,7.0,4.0,0,,2.0,255.0,255.1,271.1,264.1,70.0,3,15.0
15,16,Shannon Sharpe,DEN,TE,29,16,16,0,0,0,0,0,0,0,,0,114.0,72,1107,15.38,3,1.0,,3,1.0,,131.0,202.7,205.7,166.7,69.0,1,16.0
16,17,Corey Dillon,CIN,RB,23,16,6,0,0,0,0,0,233,1129,4.85,10,33.0,27,259,9.59,0,1.0,,10,,,199.0,225.8,231.8,212.3,69.0,7,17.0
17,18,Herman Moore,DET,WR,28,16,16,0,0,0,0,0,0,0,,0,170.0,104,1293,12.43,8,0.0,,8,1.0,,179.0,283.3,286.3,231.3,66.0,7,18.0
18,19,Marshall Faulk,IND,RB,24,16,16,0,0,0,0,0,264,1054,3.99,7,73.0,47,471,10.02,1,5.0,3.0,8,,,195.0,241.5,250.5,218.0,64.0,8,19.0
19,20,Ricky Watters,PHI,RB,28,16,16,0,0,0,0,0,285,1110,3.89,7,73.0,48,440,9.17,0,3.0,2.0,7,,,193.0,241.0,249.0,217.0,63.0,9,20.0
20,21,John Elway,DEN,QB,37,16,16,280,502,3635,27,11,50,218,4.36,1,0.0,0,0,,0,11.0,8.0,1,,1.0,245.0,245.2,270.2,256.2,60.0,4,21.0
21,22,Ben Coates,NWE,TE,28,16,16,0,0,0,0,0,0,0,,0,98.0,66,737,11.17,8,0.0,,8,,,122.0,187.7,190.7,154.7,60.0,2,22.0
22,23,Tim Brown,OAK,WR,31,16,16,0,0,0,0,0,5,19,3.8,0,162.0,104,1408,13.54,5,1.0,1.0,5,1.0,,173.0,276.7,280.7,224.7,59.0,8,23.0
23,24,Steve McNair,TEN,QB,24,16,16,216,415,2665,14,13,101,674,6.67,8,0.0,0,0,,0,16.0,5.0,8,,1.0,244.0,244.0,268.0,257.0,59.0,5,24.0
24,25,Rickey Dudley,OAK,TE,25,16,16,0,0,0,0,0,0,0,,0,91.0,48,787,16.4,7,0.0,,7,,,121.0,168.7,171.7,144.7,59.0,3,25.0
25,26,Michael Irvin,DAL,WR,31,16,16,0,0,0,0,0,0,0,,0,157.0,75,1180,15.73,9,0.0,,9,,,172.0,247.0,250.0,209.5,58.0,9,26.0
26,27,Robert Smith,MIN,RB,25,14,14,0,0,0,0,0,232,1266,5.46,6,44.0,37,197,5.32,1,0.0,,7,,,188.0,225.3,231.3,206.8,58.0,10,27.0
27,28,Jamal Anderson,ATL,RB,25,16,15,1,4,27,1,1,290,1002,3.46,7,37.0,29,284,9.79,3,4.0,2.0,10,,,188.0,216.7,225.7,203.2,57.0,11,28.0
28,29,Irving Fryar,PHI,WR,35,16,16,0,0,0,0,0,0,0,,0,153.0,86,1316,15.3,6,1.0,,6,,,168.0,253.6,256.6,210.6,54.0,10,29.0
29,30,Eddie George,TEN,RB,24,16,16,0,0,0,0,0,357,1399,3.92,6,12.0,7,44,6.29,1,4.0,3.0,7,1.0,,182.0,189.3,195.3,185.8,52.0,12,30.0
30,31,Warrick Dunn,TAM,RB,22,16,10,0,0,0,0,0,224,978,4.37,4,56.0,39,462,11.85,3,4.0,3.0,7,,,180.0,219.0,228.0,199.5,50.0,13,31.0
31,32,Wesley Walls,CAR,TE,31,15,15,0,0,0,0,0,0,0,,0,97.0,58,746,12.86,6,0.0,,6,,,111.0,168.6,171.6,139.6,49.0,4,32.0
32,33,Drew Bledsoe,NWE,QB,25,16,16,314,522,3706,28,15,28,55,1.96,0,0.0,0,0,,0,4.0,1.0,0,,,234.0,233.7,252.7,248.7,49.0,6,33.0
33,34,Raymont Harris,CHI,RB,27,13,13,0,0,0,0,0,275,1033,3.76,10,41.0,28,115,4.11,0,1.0,,10,,,175.0,202.8,208.8,188.8,45.0,14,34.0
34,35,Jimmy Smith,JAX,WR,28,16,16,0,0,0,0,0,0,0,,0,152.0,82,1324,16.15,4,1.0,,4,,,156.0,238.4,241.4,197.4,43.0,11,35.0
35,36,Curtis Martin,NWE,RB,24,13,13,0,0,0,0,0,274,1160,4.23,4,51.0,41,296,7.22,1,3.0,2.0,5,,,172.0,212.6,220.6,192.1,41.0,15,36.0
36,37,Mark Brunell,JAX,QB,27,14,14,264,435,3281,18,7,48,257,5.35,2,0.0,0,0,,0,4.0,2.0,2,,1.0,225.0,224.9,239.9,231.9,40.0,7,37.0
37,38,Derrick Alexander,BAL,WR,26,15,13,0,0,0,0,0,1,0,0.0,0,124.0,65,1009,15.52,9,1.0,1.0,9,,,153.0,217.9,221.9,185.4,39.0,12,38.0
38,39,Frank Wycheck,TEN,TE,26,16,16,0,0,0,0,0,0,0,,0,99.0,63,748,11.87,4,0.0,,4,1.0,,101.0,163.8,166.8,132.3,39.0,5,39.0
39,40,Steve Young,SFO,QB,36,15,15,241,356,3029,19,6,50,199,3.98,3,0.0,0,0,,0,4.0,,3,,,223.0,223.1,235.1,229.1,38.0,8,40.0
40,41,Andre Rison,KAN,WR,30,16,16,0,0,0,0,0,1,2,2.0,0,151.0,72,1092,15.17,7,0.0,,7,,,151.0,223.4,226.4,187.4,38.0,13,41.0
41,42,Bert Emanuel,ATL,WR,27,16,16,0,0,0,0,0,0,0,,0,140.0,65,991,15.25,9,2.0,1.0,9,,,151.0,216.1,220.1,183.6,37.0,14,42.0
42,43,Jake Reed,MIN,WR,30,16,16,0,0,0,0,0,0,0,,0,118.0,68,1138,16.74,6,0.0,,6,,,150.0,217.8,220.8,183.8,36.0,15,43.0
43,44,James Jett,OAK,WR,27,16,16,0,0,0,0,0,0,0,,0,101.0,46,804,17.48,12,2.0,2.0,12,,,148.0,194.4,199.4,171.4,35.0,16,44.0
44,45,Warren Moon,SEA,QB,41,15,14,313,528,3678,25,16,17,40,2.35,1,0.0,0,0,,0,7.0,3.0,1,,,219.0,219.1,241.1,235.1,34.0,9,45.0
45,46,Keenan McCardell,JAX,WR,27,16,16,0,0,0,0,0,0,0,,0,129.0,85,1164,13.69,5,0.0,,5,,,146.0,231.4,234.4,188.9,33.0,17,46.0
46,47,Johnnie Morton,DET,WR,26,16,16,0,0,0,0,0,3,33,11.0,0,148.0,80,1057,13.21,6,2.0,,6,,,145.0,225.0,228.0,185.0,31.0,18,47.0
47,48,Robert Brooks,GNB,WR,27,15,15,0,0,0,0,0,2,19,9.5,0,118.0,60,1010,16.83,7,0.0,,7,,,145.0,204.9,207.9,174.9,31.0,19,48.0
48,49,Terrell Owens,SFO,WR,24,16,15,0,0,0,0,0,0,0,,0,103.0,60,936,15.6,8,1.0,,8,,,142.0,201.6,204.6,171.6,28.0,20,49.0
49,50,Adrian Murrell,NYJ,RB,27,16,15,0,0,0,0,0,300,1086,3.62,7,41.0,27,106,3.93,0,4.0,2.0,7,,,157.0,184.2,192.2,170.7,27.0,16,50.0
50,51,Eric Green,BAL,TE,30,16,15,0,0,0,0,0,0,0,,0,100.0,65,601,9.25,5,1.0,1.0,5,,,88.0,153.1,157.1,120.6,26.0,6,51.0
51,52,Garrison Hearst,SFO,RB,26,13,13,0,0,0,0,0,234,1019,4.35,4,27.0,21,194,9.24,2,2.0,1.0,6,,,155.0,176.3,183.3,165.8,25.0,17,52.0
52,53,Emmitt Smith,DAL,RB,28,16,16,0,0,0,0,0,261,1074,4.11,4,48.0,40,234,5.85,0,1.0,1.0,4,1.0,,155.0,194.8,201.8,174.8,25.0,18,53.0
53,54,Chris Calloway,NYG,WR,29,16,16,0,0,0,0,0,1,-1,-1.0,0,98.0,58,849,14.64,8,0.0,,8,,,133.0,190.8,193.8,161.8,19.0,21,54.0
54,55,Brad Johnson,MIN,QB,29,13,13,275,452,3036,20,12,35,139,3.97,0,1.0,1,3,3.0,1,4.0,1.0,1,2.0,2.0,204.0,204.6,223.6,216.1,18.0,10,55.0
55,56,Troy Drayton,MIA,TE,27,16,15,0,0,0,0,0,0,0,,0,50.0,39,558,14.31,4,0.0,,4,,,80.0,118.8,121.8,99.3,18.0,7,56.0
56,57,Tony McGee,CIN,TE,26,16,16,0,0,0,0,0,0,0,,0,53.0,34,414,12.18,6,0.0,,6,1.0,,79.0,113.4,116.4,96.4,17.0,8,57.0
57,58,Mark Chmura,GNB,TE,28,15,14,0,0,0,0,0,0,0,,0,56.0,38,417,10.97,6,1.0,1.0,6,,,76.0,113.7,117.7,94.7,14.0,9,58.0
58,59,Antowain Smith,BUF,RB,25,16,0,0,0,0,0,0,194,840,4.33,8,47.0,28,177,6.32,0,4.0,3.0,8,,,144.0,171.7,180.7,157.7,14.0,19,59.0
