player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj
Aaron Rodgers,GNB,QB,28,15,15,343.0,502.0,4643.0,45.0,6.0,60.0,257.0,4.28,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,0.0,0.0,397.0,397.4,28.918275651682045,354.2488767331051,518.4633706122995,4795.269780384277,46.475800154489,6.196773353931867,61.967733539318665,265.4284586600816,4.420364992471399,3.0983866769659336,0.0,0.0,0.0,0.0,0.0,4.131182235954578,0.0,3.0983866769659336,0.0,0.0,410.0198369184919,410.4329551420873
Drew Brees,NOR,QB,32,16,16,468.0,657.0,5476.0,46.0,14.0,21.0,86.0,4.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,3.0,394.0,393.6,32.0,468.0,657.0,5476.0,46.0,14.0,21.0,86.0,4.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,394.0,393.6
Ray Rice,BAL,RB,24,16,16,1.0,1.0,1.0,1.0,0.0,291.0,1364.0,4.69,12.0,104.0,76.0,704.0,9.26,3.0,2.0,2.0,15,0.0,0.0,297.0,372.8,24.0,1.0,1.0,1.0,1.0,0.0,291.0,1364.0,4.69,12.0,104.0,76.0,704.0,9.26,3.0,2.0,2.0,15.0,0.0,0.0,297.0,372.8
Calvin Johnson,DET,WR,26,16,16,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,158.0,96.0,1681.0,17.51,16.0,1.0,1.0,16,0.0,0.0,263.0,359.2,26.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,158.0,96.0,1681.0,17.51,16.0,1.0,1.0,16.0,0.0,0.0,263.0,359.2
Cam Newton,CAR,QB,22,16,16,310.0,517.0,4051.0,21.0,17.0,126.0,706.0,5.6,14.0,1.0,1.0,27.0,27.0,0.0,5.0,2.0,14,0.0,2.0,369.0,370.3,22.0,310.0,517.0,4051.0,21.0,17.0,126.0,706.0,5.6,14.0,1.0,1.0,27.0,27.0,0.0,5.0,2.0,14.0,0.0,2.0,369.0,370.3
Rob Gronkowski,NWE,TE,22,16,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,124.0,90.0,1327.0,14.74,17.0,0.0,0.0,18,0.0,0.0,241.0,330.9,22.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,124.0,90.0,1327.0,14.74,17.0,0.0,0.0,18.0,0.0,0.0,241.0,330.9
Tom Brady,NWE,QB,34,16,16,401.0,611.0,5235.0,39.0,12.0,43.0,109.0,2.53,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3,0.0,0.0,366.0,366.3,34.0,401.0,611.0,5235.0,39.0,12.0,43.0,109.0,2.53,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,366.0,366.3
LeSean McCoy,PHI,RB,23,15,15,0.0,0.0,0.0,0.0,0.0,273.0,1309.0,4.79,17.0,69.0,48.0,315.0,6.56,3.0,1.0,1.0,20,0.0,0.0,280.0,328.4,23.754297856738823,0.0,0.0,0.0,0.0,0.0,281.95318760389995,1351.9293867161357,4.947090727555607,17.557524502806956,71.26289357021646,49.57418683145494,325.330601081423,6.7751388669655075,3.0983866769659336,1.0327955589886444,1.0327955589886444,20.65591117977289,0.0,0.0,289.18275651682046,339.1700615718708
Matthew Stafford,DET,QB,23,16,16,421.0,663.0,5038.0,41.0,16.0,22.0,78.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0,0.0,2.0,343.0,343.3,23.0,421.0,663.0,5038.0,41.0,16.0,22.0,78.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,343.0,343.3
Maurice Jones-Drew,JAX,RB,26,16,16,0.0,0.0,0.0,0.0,0.0,343.0,1606.0,4.68,8.0,64.0,43.0,374.0,8.7,3.0,6.0,1.0,11,0.0,0.0,262.0,305.0,26.0,0.0,0.0,0.0,0.0,0.0,343.0,1606.0,4.68,8.0,64.0,43.0,374.0,8.7,3.0,6.0,1.0,11.0,0.0,0.0,262.0,305.0
Arian Foster,HOU,RB,25,13,13,0.0,0.0,0.0,0.0,0.0,278.0,1224.0,4.4,10.0,72.0,53.0,617.0,11.64,2.0,5.0,2.0,12,0.0,0.0,252.0,305.1,27.735009811261456,0.0,0.0,0.0,0.0,0.0,308.4133091012274,1357.9060803593609,4.881361726782017,11.094003924504584,79.876828256433,58.79822079987429,684.5000421419328,12.913420568123335,2.2188007849009166,5.547001962252292,2.2188007849009166,13.3128047094055,0.0,0.0,279.5688988975155,338.47805973663486
Jordy Nelson,GNB,WR,26,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,68.0,1263.0,18.57,15.0,0.0,0.0,15,0.0,0.0,216.0,284.3,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,68.0,1263.0,18.57,15.0,0.0,0.0,15.0,0.0,0.0,216.0,284.3
Jimmy Graham,NOR,TE,25,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,99.0,1310.0,13.23,11.0,1.0,1.0,11,0.0,0.0,195.0,294.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,99.0,1310.0,13.23,11.0,1.0,1.0,11.0,0.0,0.0,195.0,294.0
Wes Welker,NWE,WR,30,16,15,0.0,0.0,0.0,0.0,0.0,4.0,30.0,7.5,0.0,173.0,122.0,1569.0,12.86,9.0,1.0,0.0,9,0.0,0.0,214.0,335.9,30.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,7.5,0.0,173.0,122.0,1569.0,12.86,9.0,1.0,0.0,9.0,0.0,0.0,214.0,335.9
Victor Cruz,NYG,WR,25,16,7,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,131.0,82.0,1536.0,18.73,9.0,1.0,1.0,9,0.0,0.0,206.0,287.9,25.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,131.0,82.0,1536.0,18.73,9.0,1.0,1.0,9.0,0.0,0.0,206.0,287.9
Larry Fitzgerald,ARI,WR,28,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,80.0,1411.0,17.64,8.0,0.0,0.0,8,0.0,0.0,189.0,269.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,80.0,1411.0,17.64,8.0,0.0,0.0,8.0,0.0,0.0,189.0,269.1
Steve Smith Sr.,CAR,WR,32,16,16,0.0,0.0,0.0,0.0,0.0,6.0,56.0,9.33,0.0,129.0,79.0,1394.0,17.65,7.0,3.0,2.0,7,1.0,0.0,185.0,264.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,9.33,0.0,129.0,79.0,1394.0,17.65,7.0,3.0,2.0,7.0,1.0,0.0,185.0,264.0
Marshawn Lynch,SEA,RB,25,15,15,0.0,2.0,0.0,0.0,0.0,285.0,1204.0,4.22,12.0,41.0,28.0,212.0,7.57,1.0,3.0,2.0,13,0.0,0.0,216.0,243.6,25.81988897471611,0.0,2.065591117977289,0.0,0.0,0.0,294.34673431176367,1243.485853022328,4.358397258932079,12.393546707863734,42.344617918534425,28.918275651682045,218.95265850559264,7.818262381544039,1.0327955589886444,3.0983866769659336,2.065591117977289,13.426342266852378,0.0,0.0,223.0838407415472,251.58899816963378
Percy Harvin,MIN,WR,23,16,14,0.0,0.0,0.0,0.0,0.0,52.0,345.0,6.63,2.0,121.0,87.0,967.0,11.11,6.0,2.0,2.0,9,0.0,0.0,181.0,268.2,23.0,0.0,0.0,0.0,0.0,0.0,52.0,345.0,6.63,2.0,121.0,87.0,967.0,11.11,6.0,2.0,2.0,9.0,0.0,0.0,181.0,268.2
Michael Turner,ATL,RB,29,16,15,0.0,0.0,0.0,0.0,0.0,301.0,1340.0,4.45,11.0,26.0,17.0,168.0,9.88,0.0,3.0,2.0,11,0.0,0.0,213.0,229.8,29.0,0.0,0.0,0.0,0.0,0.0,301.0,1340.0,4.45,11.0,26.0,17.0,168.0,9.88,0.0,3.0,2.0,11.0,0.0,0.0,213.0,229.8
Roddy White,ATL,WR,30,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,100.0,1296.0,12.96,8.0,0.0,0.0,8,0.0,0.0,178.0,277.6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,100.0,1296.0,12.96,8.0,0.0,0.0,8.0,0.0,0.0,178.0,277.6
Eli Manning,NYG,QB,30,16,16,359.0,589.0,4933.0,29.0,16.0,35.0,15.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1,0.0,0.0,281.0,280.8,30.0,359.0,589.0,4933.0,29.0,16.0,35.0,15.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,281.0,280.8
Mike Wallace,PIT,WR,25,16,14,0.0,0.0,0.0,0.0,0.0,5.0,57.0,11.4,0.0,114.0,72.0,1193.0,16.57,8.0,1.0,1.0,8,0.0,0.0,171.0,243.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,11.4,0.0,114.0,72.0,1193.0,16.57,8.0,1.0,1.0,8.0,0.0,0.0,171.0,243.0
Vincent Jackson,SDG,WR,28,16,16,0.0,0.0,0.0,0.0,0.0,3.0,51.0,17.0,0.0,115.0,60.0,1106.0,18.43,9.0,0.0,0.0,9,0.0,0.0,170.0,229.7,28.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,17.0,0.0,115.0,60.0,1106.0,18.43,9.0,0.0,0.0,9.0,0.0,0.0,170.0,229.7
Tony Romo,DAL,QB,31,16,16,346.0,522.0,4184.0,31.0,10.0,22.0,46.0,2.09,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1,0.0,0.0,276.0,276.0,31.0,346.0,522.0,4184.0,31.0,10.0,22.0,46.0,2.09,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,276.0,276.0
Matt Ryan,ATL,QB,26,16,16,347.0,566.0,4177.0,29.0,12.0,37.0,84.0,2.27,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2,0.0,0.0,273.0,273.5,26.0,347.0,566.0,4177.0,29.0,12.0,37.0,84.0,2.27,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,273.0,273.5
Hakeem Nicks,NYG,WR,23,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,76.0,1192.0,15.68,7.0,0.0,0.0,7,0.0,0.0,161.0,237.2,23.754297856738823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.36180934548972,78.49246248313698,1231.0923063144642,16.194234364941945,7.229568912920511,0.0,0.0,7.229568912920511,0.0,0.0,166.28008499717177,244.97910659210646
Marques Colston,NOR,WR,28,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,80.0,1143.0,14.29,8.0,1.0,1.0,8,0.0,0.0,160.0,240.3,29.93325909419153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.38781153851764,85.5235974119758,1221.9183980236044,15.276652587714176,8.55235974119758,1.0690449676496976,1.0690449676496976,8.55235974119758,0.0,0.0,171.0471948239516,256.89150572622236
Darren Sproles,NOR,RB,28,16,4,0.0,0.0,0.0,0.0,0.0,87.0,603.0,6.93,2.0,111.0,86.0,710.0,8.26,7.0,0.0,0.0,10,0.0,0.0,191.0,277.3,28.0,0.0,0.0,0.0,0.0,0.0,87.0,603.0,6.93,2.0,111.0,86.0,710.0,8.26,7.0,0.0,0.0,10.0,0.0,0.0,191.0,277.3
