,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
109,110,Quinn Early,NOR,WR,27,16,16,0,0,0,0,0,3,-1,-0.33,0,64.0,30,566,18.87,5,0.0,,5,,,87.0,116.5,119.5,101.5,,37,
110,111,Ricky Ervins,WAS,RB,24,16,0,0,0,0,0,0,151,495,3.28,2,42.0,32,252,7.88,0,1.0,,2,,,86.0,117.7,124.2,101.7,,37,
111,112,Reggie Langhorne,IND,WR,29,16,12,0,0,0,0,0,1,-7,-7.0,0,124.0,65,811,12.48,1,0.0,,1,,,86.0,151.4,154.4,118.9,,38,
112,113,Art Monk,WAS,WR,35,16,14,0,0,0,0,0,6,45,7.5,0,89.0,46,644,14.0,3,1.0,,3,,,86.0,131.9,135.4,108.9,,39,
113,114,Keith Byars,PHI,RB,29,15,15,0,1,0,0,0,41,176,4.29,1,81.0,56,502,8.96,2,1.0,,3,,,85.0,140.8,147.3,112.8,,38,
114,115,Gaston Green,DEN,RB,26,14,13,0,0,0,0,0,161,648,4.02,2,13.0,10,79,7.9,0,0.0,,2,,,85.0,94.7,97.7,89.7,,39,
115,116,Jessie Hester,IND,WR,29,16,16,0,0,0,0,0,0,0,,0,122.0,52,792,15.23,1,0.0,,1,,,85.0,137.2,140.2,111.2,,40,
116,117,Lawrence Dawsey,TAM,WR,25,15,12,0,0,0,0,0,0,0,,0,94.0,60,776,12.93,1,1.0,,1,,,83.0,142.6,146.1,112.6,,41,
117,118,Anthony Carter,MIN,WR,32,16,14,0,1,0,0,0,16,66,4.13,1,80.0,41,580,14.15,2,1.0,,3,,,82.0,122.6,126.1,102.1,,43,
118,119,Darren Lewis,CHI,RB,24,16,5,0,0,0,0,0,90,382,4.24,4,27.0,18,175,9.72,0,4.0,,5,,,82.0,99.7,107.7,90.7,,40,
119,120,Nate Lewis,SDG,WR,26,15,7,0,0,0,0,0,2,7,3.5,0,64.0,34,580,17.06,4,1.0,,4,,,82.0,115.7,119.2,98.7,,42,
120,121,Alvin Harper,DAL,WR,24,16,13,0,0,0,0,0,1,15,15.0,0,77.0,35,562,16.06,4,1.0,,4,,,81.0,115.7,119.2,98.2,,44,
121,122,Mike Tomczak,CLE,QB,30,12,8,120,211,1693,7,7,24,39,1.63,0,,0,0,,0,5.0,,0,,,81.0,80.6,93.1,87.6,,25,
122,123,Roger Craig,MIN,RB,32,15,1,0,0,0,0,0,105,416,3.96,4,30.0,22,164,7.45,0,2.0,,4,,,80.0,102.0,109.0,91.0,,41,
123,124,Ernie Jones,PHO,WR,28,11,5,0,0,0,0,0,2,-3,-1.5,0,73.0,38,559,14.71,4,0.0,,4,,,80.0,117.6,120.6,98.6,,45,
124,125,David Lang,RAM,RB,24,16,11,0,0,0,0,0,33,203,6.15,5,26.0,18,283,15.72,1,5.0,,6,,,80.0,97.6,106.1,88.6,,43,
125,126,Dwight Stone,PIT,RB,28,15,12,0,0,0,0,0,12,118,9.83,0,68.0,34,501,14.74,3,0.0,,3,,,80.0,113.9,119.9,96.9,,42,
126,127,J.J. Birden,KAN,WR,27,16,11,0,0,0,0,0,0,0,,0,78.0,42,644,15.33,3,3.0,,3,,,79.0,121.4,125.9,100.4,,46,
127,128,Mark Clayton,MIA,WR,31,13,13,0,0,0,0,0,0,0,,0,89.0,43,619,14.4,3,1.0,,3,,,79.0,121.9,125.4,100.4,,48,
128,129,Jeff George,IND,QB,25,10,10,167,306,1963,7,15,14,26,1.86,1,,0,0,,0,6.0,,1,,,79.0,79.1,100.1,94.1,,26,
129,130,Drew Hill,ATL,WR,36,16,14,0,0,0,0,0,0,0,,0,98.0,60,623,10.38,3,1.0,,3,,,79.0,139.3,142.8,109.3,,47,
130,131,Browning Nagle,NYJ,QB,24,14,13,192,387,2280,7,17,24,57,2.38,0,,0,0,,0,12.0,,0,,,79.0,78.9,104.9,95.9,,27,
131,132,Christian Okoye,KAN,RB,31,15,5,0,0,0,0,0,144,448,3.11,6,4.0,1,5,5.0,0,2.0,,6,,,79.0,80.3,84.3,79.8,,44,
132,133,Vaughn Dunbar,NOR,RB,24,16,8,0,0,0,0,0,154,565,3.67,3,14.0,9,62,6.89,0,3.0,,3,,,78.0,86.7,91.2,82.2,,45,
133,134,Chris Burkett,NYJ,WR,30,16,5,0,0,0,0,0,0,0,,0,95.0,57,724,12.7,1,1.0,,1,,,77.0,134.4,137.9,105.9,,49,
134,135,Jeff Graham,PIT,WR,23,14,10,0,0,0,0,0,0,0,,0,94.0,49,711,14.51,1,0.0,,1,,,77.0,126.1,129.1,101.6,,50,
135,136,Jarrod Bunch,NYG,RB,24,16,13,0,0,0,0,0,104,501,4.82,3,16.0,11,50,4.55,1,3.0,,4,,,76.0,87.1,91.6,81.6,,46,
136,137,Marcus Allen,RAI,RB,32,16,0,0,0,0,0,0,67,301,4.49,2,44.0,28,277,9.89,1,1.0,,3,,,75.0,102.8,109.3,88.8,,47,
137,138,Willie Gault,RAI,WR,32,16,16,0,0,0,0,0,1,6,6.0,0,76.0,27,508,18.81,4,0.0,,4,,,75.0,102.4,105.4,88.9,,51,
138,139,Craig Heyward,NOR,RB,26,16,13,0,0,0,0,0,104,416,4.0,3,25.0,19,159,8.37,0,1.0,,3,,,75.0,93.5,100.0,84.0,,48,
139,140,Webster Slaughter,HOU,WR,28,12,9,0,0,0,0,0,3,20,6.67,0,61.0,39,486,12.46,4,3.0,,4,,,72.0,110.6,115.1,91.1,,52,
140,141,Harry Sydney,GNB,RB,33,16,10,0,0,0,0,0,51,163,3.2,2,65.0,49,384,7.84,1,2.0,,3,,,71.0,119.7,126.7,95.2,,49,
141,142,Amp Lee,SFO,RB,21,16,3,0,0,0,0,0,91,362,3.98,2,25.0,20,102,5.1,2,1.0,,4,,,69.0,89.4,95.9,79.4,,50,
142,143,Tim Barnett,KAN,WR,24,12,3,0,0,0,0,0,0,0,,0,44.0,24,442,18.42,4,1.0,,4,,,67.0,91.2,94.7,79.2,,53,
143,144,Larry Centers,PHO,RB,24,16,1,0,0,0,0,0,37,139,3.76,0,59.0,50,417,8.34,2,1.0,,2,,,67.0,116.6,123.1,91.6,,51,
144,145,Johnny Bailey,PHO,RB,25,12,2,0,0,0,0,0,52,233,4.48,1,44.0,33,331,10.03,1,2.0,,2,,,66.0,99.4,106.4,82.9,,52,
145,146,Don Beebe,BUF,WR,28,12,8,0,0,0,0,0,1,-6,-6.0,0,58.0,33,554,16.79,2,1.0,,2,,,66.0,98.8,102.3,82.3,,54,
146,147,Mike Sherrard,SFO,WR,29,16,8,0,0,0,0,0,0,0,,0,58.0,38,607,15.97,0,1.0,,1,,,66.0,103.7,107.2,84.7,,55,
147,148,Boomer Esiason,CIN,QB,31,12,11,144,278,1407,11,15,21,66,3.14,0,,0,0,,0,12.0,,0,,,65.0,64.9,88.9,79.9,,28,
148,149,Bernie Kosar,CLE,QB,29,7,7,103,155,1160,8,7,5,12,2.4,0,,0,0,,0,1.0,,0,,,65.0,64.6,75.1,71.6,,29,
