player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Todd Gurley,LAR,RB,24,14,14,0,0,0,0,0,256,1251,4.89,17,81,59,580,9.83,4,1.0,1,21,3.0,0.0,313.0,372.1,25.657079223592742,0.0,0.0,0.0,0.0,0.0,273.6755117183226,1337.3752545297716,5.2276298918070205,18.173764450044857,86.5926423796255,63.073653091332154,620.0460812368245,10.508712031996527,4.27617987059879,1.0690449676496976,1.0690449676496976,22.44994432064365,3.2071349029490928,0.0,334.6110748743553,397.79163246245247,2018
Saquon Barkley,NYG,RB,21,16,16,0,0,0,0,0,261,1307,5.01,11,121,91,721,7.92,4,0.0,0,15,1.0,0.0,295.0,385.8,21.0,0.0,0.0,0.0,0.0,0.0,261.0,1307.0,5.01,11.0,121.0,91.0,721.0,7.92,4.0,0.0,0.0,15.0,1.0,0.0,295.0,385.8,2018
Christian McCaffrey,CAR,RB,22,16,16,1,1,50,1,0,219,1098,5.01,7,124,107,867,8.1,6,4.0,1,13,0.0,0.0,279.0,385.5,22.0,1.0,1.0,50.0,1.0,0.0,219.0,1098.0,5.01,7.0,124.0,107.0,867.0,8.1,6.0,4.0,1.0,13.0,0.0,0.0,279.0,385.5,2018
Alvin Kamara,NOR,RB,23,15,13,0,0,0,0,0,194,883,4.55,14,105,81,709,8.75,4,1.0,0,18,3.0,0.0,273.0,354.2,23.754297856738823,0.0,0.0,0.0,0.0,0.0,200.36233844379703,911.9584785869731,4.699219793398332,14.459137825841022,108.44353369380767,83.6564402780802,732.2520513229489,9.03696114115064,4.131182235954578,1.0327955589886444,0.0,18.5903200617956,3.0983866769659336,0.0,281.95318760389995,365.8161869937779,2018
Patrick Mahomes,KAN,QB,23,16,16,383,580,5097,50,12,60,272,4.53,2,0,0,0,0.0,0,9.0,2,2,1.0,0.0,417.0,417.1,23.0,383.0,580.0,5097.0,50.0,12.0,60.0,272.0,4.53,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,1.0,0.0,417.0,417.1,2018
Tyreek Hill,KAN,WR,24,16,16,0,0,0,0,0,22,151,6.86,1,137,87,1479,17.0,12,0.0,0,14,0.0,0.0,247.0,334.0,24.0,0.0,0.0,0.0,0.0,0.0,22.0,151.0,6.86,1.0,137.0,87.0,1479.0,17.0,12.0,0.0,0.0,14.0,0.0,0.0,247.0,334.0,2018
Ezekiel Elliott,DAL,RB,23,15,15,0,0,0,0,0,304,1434,4.72,6,95,77,567,7.36,3,6.0,1,9,0.0,0.0,252.0,329.1,23.754297856738823,0.0,0.0,0.0,0.0,0.0,313.9698499325479,1481.0288315897162,4.874795038426401,6.196773353931867,98.11557810392122,79.52525804212563,585.5950819465614,7.6013753141564235,3.0983866769659336,6.196773353931867,1.0327955589886444,9.2951600308978,0.0,0.0,260.2644808651384,339.8930184631629,2018
Travis Kelce,KAN,TE,29,16,16,0,0,0,0,0,0,0,0.0,0,150,103,1336,12.97,10,2.0,1,10,0.0,0.0,192.0,294.6,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,103.0,1336.0,12.97,10.0,2.0,1.0,10.0,0.0,0.0,192.0,294.6,2018
Antonio Brown,PIT,WR,30,15,15,0,1,0,0,0,0,0,0.0,0,168,104,1297,12.47,15,0.0,0,15,0.0,0.0,220.0,323.7,30.983866769659333,0.0,1.0327955589886444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.50965391009228,107.41073813481903,1339.5358400082719,12.878960620588398,15.491933384829666,0.0,0.0,15.491933384829666,0.0,0.0,227.21502297750177,334.3159224446242,2018
Davante Adams,GNB,WR,26,15,15,0,0,0,0,0,0,0,0.0,0,169,111,1386,12.49,13,0.0,0,13,1.0,0.0,219.0,329.6,26.852684533704757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.5424494690809,114.64030704773954,1431.4546447582613,12.899616531768169,13.426342266852378,0.0,0.0,13.426342266852378,1.0327955589886444,0.0,226.18222741851315,340.40941624265724,2018
