rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
1,Shaun Alexander,SEA,RB,28,16,16,0,0,0,0,0,370,1880,5.08,27,29.0,15,78,5.2,1,5.0,1.0,28,0.0,0.0,362.0,376.8,380.8,369.3,226.0,1,1.0
2,Larry Johnson,KAN,RB,26,16,9,0,0,0,0,0,336,1750,5.21,20,49.0,33,343,10.39,1,5.0,4.0,21,0.0,0.0,327.0,360.3,370.3,343.8,191.0,2,2.0
3,LaDainian Tomlinson,SDG,RB,26,16,16,3,4,47,3,0,339,1462,4.31,18,77.0,51,370,7.25,2,3.0,1.0,20,0.0,0.0,315.0,366.1,373.1,340.6,179.0,3,3.0
4,Tiki Barber,NYG,RB,30,16,16,0,1,0,0,0,357,1860,5.21,9,70.0,54,530,9.81,2,1.0,1.0,11,1.0,0.0,305.0,359.0,366.0,332.0,169.0,4,4.0
5,Edgerrin James,IND,RB,27,15,15,0,0,0,0,0,360,1506,4.18,13,50.0,44,337,7.66,1,2.0,1.0,14,0.0,0.0,266.0,310.3,317.3,288.3,130.0,5,5.0
6,Steve Smith Sr.,CAR,WR,26,16,16,0,0,0,0,0,4,25,6.25,1,150.0,103,1563,15.17,12,2.0,1.0,13,0.0,0.0,235.0,337.8,341.8,286.3,119.0,1,6.0
7,Clinton Portis,WAS,RB,24,16,16,1,2,17,1,0,352,1516,4.31,11,41.0,30,216,7.2,0,3.0,2.0,11,1.0,0.0,242.0,271.9,279.9,256.9,106.0,6,7.0
8,Antonio Gates,SDG,TE,25,15,15,0,0,0,0,0,0,0,0.0,0,140.0,89,1101,12.37,10,0.0,0.0,10,0.0,0.0,170.0,259.1,262.1,214.6,93.0,1,8.0
9,Rudi Johnson,CIN,RB,26,16,14,0,0,0,0,0,337,1458,4.33,12,30.0,23,90,3.91,0,1.0,0.0,12,0.0,0.0,227.0,249.8,252.8,238.3,91.0,7,9.0
10,LaMont Jordan,OAK,RB,27,14,14,0,0,0,0,0,272,1025,3.77,9,103.0,70,563,8.04,2,2.0,1.0,11,1.0,0.0,225.0,294.8,301.8,259.8,89.0,8,10.0
11,Larry Fitzgerald,ARI,WR,22,16,16,0,0,0,0,0,8,41,5.13,0,165.0,103,1409,13.68,10,0.0,0.0,10,0.0,0.0,205.0,308.0,311.0,256.5,89.0,2,11.0
12,Chad Johnson,CIN,WR,27,16,16,0,0,0,0,0,5,33,6.6,0,155.0,97,1432,14.76,9,1.0,0.0,9,0.0,0.0,201.0,297.5,300.5,249.0,84.0,3,12.0
13,Santana Moss,WAS,WR,26,16,16,0,0,0,0,0,3,-3,-1.0,0,134.0,84,1483,17.65,9,3.0,1.0,9,0.0,0.0,200.0,284.0,288.0,242.0,84.0,4,13.0
14,Joey Galloway,TAM,WR,34,16,16,0,0,0,0,0,2,4,2.0,0,152.0,83,1287,15.51,10,0.0,0.0,10,0.0,0.0,189.0,272.1,275.1,230.6,73.0,5,14.0
15,Torry Holt,STL,WR,29,14,14,0,0,0,0,0,1,2,2.0,0,163.0,102,1331,13.05,9,2.0,0.0,9,0.0,0.0,187.0,289.3,292.3,238.3,71.0,6,15.0
16,Anquan Boldin,ARI,WR,25,14,14,0,1,0,0,0,12,45,3.75,0,171.0,102,1402,13.75,7,2.0,1.0,7,1.0,0.0,187.0,288.7,292.7,237.7,71.0,7,16.0
17,Marvin Harrison,IND,WR,33,15,15,0,0,0,0,0,0,0,0.0,0,134.0,82,1146,13.98,12,0.0,0.0,12,0.0,0.0,187.0,268.6,271.6,227.6,70.0,8,17.0
18,Carson Palmer,CIN,QB,26,16,16,345,509,3836,32,12,34,41,1.21,1,0.0,0,0,0.0,0,5.0,2.0,1,0.0,1.0,266.0,265.5,282.5,277.5,70.0,1,18.0
19,Chris Chambers,MIA,WR,27,16,16,0,0,0,0,0,12,92,7.67,0,166.0,82,1118,13.63,11,5.0,2.0,11,0.0,0.0,183.0,265.0,270.0,224.0,67.0,9,19.0
20,Thomas Jones,CHI,RB,27,15,15,0,0,0,0,0,314,1335,4.25,9,39.0,26,143,5.5,0,2.0,2.0,9,0.0,0.0,198.0,223.8,231.8,210.8,62.0,9,20.0
21,Mike Anderson,DEN,RB,32,15,15,0,0,0,0,0,239,1014,4.24,12,21.0,18,212,11.78,1,2.0,2.0,13,0.0,0.0,197.0,214.6,222.6,205.6,61.0,10,21.0
22,Jeremy Shockey,NYG,TE,25,15,15,0,0,0,0,0,0,0,0.0,0,121.0,65,891,13.71,7,0.0,0.0,7,1.0,0.0,133.0,198.1,201.1,165.6,56.0,2,22.0
23,Steven Jackson,STL,RB,22,15,15,0,0,0,0,0,254,1046,4.12,8,55.0,43,320,7.44,2,3.0,3.0,10,0.0,0.0,191.0,233.6,242.6,212.1,55.0,11,23.0
24,Tom Brady,NWE,QB,28,16,16,334,530,4110,26,14,27,89,3.3,1,0.0,0,0,0.0,0,4.0,3.0,1,0.0,0.0,249.0,249.3,269.3,263.3,53.0,2,24.0
25,Peyton Manning,IND,QB,29,16,16,305,453,3747,28,10,33,45,1.36,0,0.0,0,0,0.0,0,5.0,1.0,0,0.0,1.0,246.0,246.4,260.4,256.4,50.0,3,25.0
26,Warrick Dunn,ATL,RB,30,16,16,0,0,0,0,0,280,1416,5.06,3,37.0,29,220,7.59,1,3.0,1.0,4,0.0,0.0,186.0,214.6,221.6,200.1,50.0,12,26.0
27,Todd Heap,BAL,TE,25,16,16,0,0,0,0,0,0,0,0.0,0,114.0,75,855,11.4,7,2.0,1.0,7,0.0,0.0,126.0,200.5,204.5,163.0,49.0,3,27.0
28,Hines Ward,PIT,WR,29,15,15,0,0,0,0,0,3,10,3.33,0,114.0,69,975,14.13,11,1.0,1.0,11,0.0,0.0,163.0,231.5,235.5,197.0,46.0,10,28.0
29,Plaxico Burress,NYG,WR,28,16,15,0,0,0,0,0,0,0,0.0,0,166.0,76,1214,15.97,7,1.0,1.0,7,0.0,0.0,161.0,237.4,241.4,199.4,45.0,11,29.0
30,Terry Glenn,DAL,WR,31,16,16,0,0,0,0,0,2,-4,-2.0,1,119.0,62,1136,18.32,7,0.0,0.0,8,0.0,0.0,161.0,223.2,226.2,192.2,45.0,12,30.0
31,Alge Crumpler,ATL,TE,28,16,16,0,0,0,0,0,0,0,0.0,0,118.0,65,877,13.49,5,1.0,1.0,5,1.0,0.0,118.0,182.7,186.7,150.2,41.0,4,31.0
32,Chris Cooley,WAS,TE,23,16,16,0,0,0,0,0,0,0,0.0,0,103.0,71,774,10.9,7,3.0,1.0,7,0.0,0.0,117.0,188.4,192.4,152.9,40.0,5,32.0
33,Donald Driver,GNB,WR,30,16,16,0,0,0,0,0,2,13,6.5,0,146.0,86,1221,14.2,5,0.0,0.0,5,0.0,0.0,153.0,239.4,242.4,196.4,37.0,13,33.0
34,Willie Parker,PIT,RB,25,15,15,0,0,0,0,0,255,1202,4.71,4,24.0,18,218,12.11,1,4.0,0.0,5,0.0,0.0,172.0,190.0,196.0,181.0,36.0,13,34.0
