player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Kenny Britt,LAR,WR,28,15,15,0,0,0,0,0,0,0,0.0,0,111,68,1002,14.74,5,2.0,1,5,0.0,0.0,128.0,196.2,28.918275651682045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.64030704773954,70.23009801122782,1034.8611501066218,15.22340653949262,5.163977794943222,2.065591117977289,1.0327955589886444,5.163977794943222,0.0,0.0,132.19783155054648,202.63448867357204,2016
Jonathan Stewart,CAR,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.5,0,3.0,2,9,0.0,0.0,138.0,146.4,32.17261138106329,0.0,0.0,0.0,0.0,0.0,241.8492855541999,914.1459233791776,4.1935334834627325,9.984603532054125,23.297408241459625,8.875203139603666,66.5640235470275,8.320502943378438,0.0,3.328201177351375,2.2188007849009166,9.984603532054125,0.0,0.0,153.09725415816325,162.4162174547471,2016
Kenny Stills,MIA,WR,24,16,16,0,0,0,0,0,0,0,0.0,0,81,42,726,17.29,9,0.0,0,9,0.0,0.0,127.0,168.6,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,42.0,726.0,17.29,9.0,0.0,0.0,9.0,0.0,0.0,127.0,168.6,2016
Allen Robinson,JAX,WR,23,16,16,0,0,0,0,0,0,0,0.0,0,151,73,883,12.1,6,1.0,0,6,1.0,0.0,126.0,199.3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,73.0,883.0,12.1,6.0,1.0,0.0,6.0,1.0,0.0,126.0,199.3,2016
Andy Dalton,CIN,QB,29,16,16,364,563,4206,18,8,46,184,4.0,4,0,0,0,0.0,0,9.0,3,4,0.0,0.0,261.0,260.6,29.0,364.0,563.0,4206.0,18.0,8.0,46.0,184.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,0.0,0.0,261.0,260.6,2016
Coby Fleener,NOR,TE,28,16,8,0,0,0,0,0,1,2,2.0,1,81,50,631,12.62,3,2.0,0,4,0.0,0.0,87.0,137.3,28.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,81.0,50.0,631.0,12.62,3.0,2.0,0.0,4.0,0.0,0.0,87.0,137.3,2016
Adam Thielen,MIN,WR,26,16,10,0,0,0,0,0,2,15,7.5,0,92,69,967,14.01,5,2.0,1,5,0.0,0.0,126.0,195.2,26.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.5,0.0,92.0,69.0,967.0,14.01,5.0,2.0,1.0,5.0,0.0,0.0,126.0,195.2,2016
Terrance West,BAL,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,2.0,0,6,0.0,0.0,137.0,171.0,25.0,0.0,0.0,0.0,0.0,0.0,193.0,774.0,4.01,5.0,45.0,34.0,236.0,6.94,1.0,2.0,0.0,6.0,0.0,0.0,137.0,171.0,2016
Marcus Mariota,TEN,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,0.0,0,10.0,5,2,0.0,0.0,260.0,259.9,23.754297856738823,285.05157428086585,465.7907971038787,3538.357585095096,26.852684533704757,9.2951600308978,61.967733539318665,360.44565008703694,6.0108701533139115,2.065591117977289,1.0327955589886444,0.0,0.0,0.0,0.0,10.327955589886445,5.163977794943222,2.065591117977289,0.0,0.0,268.5268453370476,268.4235657811487,2016
Tom Brady,NWE,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,0.0,0,5.0,0,0,0.0,1.0,259.0,258.6,45.03332099679081,336.01785666836224,498.8306325798367,4103.80571339986,32.331615074619044,2.3094010767585034,32.331615074619044,73.90083445627211,2.644264232888486,0.0,0.0,0.0,0.0,0.0,0.0,5.773502691896258,0.0,0.0,0.0,1.1547005383792517,299.06743944022617,298.60555922487447,2016
