player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj
Melvin Gordon,DEN,RB,28,16,16,0.0,0.0,0.0,0.0,0.0,203.0,918.0,4.52,8.0,38.0,28.0,213.0,7.61,2.0,3.0,3.0,10,0.0,0.0,167.0,195.1,28.861739379323623,0.0,0.0,0.0,0.0,0.0,209.24761050009627,946.2527410792532,4.6591093569479565,8.246211251235321,39.16950344336777,28.861739379323623,219.55537456414044,7.8442084527375995,2.0615528128088303,3.0923292192132457,3.0923292192132457,10.307764064044152,0.0,0.0,172.13965986953733,201.1044768895014
Jaylen Waddle,MIA,WR,23,16,16,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,1.0,140.0,104.0,1015.0,9.76,6.0,2.0,1.0,7,0.0,0.0,142.0,245.8,23.707857347301548,0.0,0.0,0.0,0.0,0.0,2.0615528128088303,3.0923292192132457,1.5461646096066228,1.0307764064044151,144.30869689661813,107.20074626605917,1046.2380525004814,10.060377726507092,6.184658438426491,2.0615528128088303,1.0307764064044151,7.215434844830906,0.0,0.0,146.37024970942696,253.36484069420527
Brandin Cooks,HOU,WR,28,16,16,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,0.0,134.0,90.0,1037.0,11.52,6.0,0.0,0.0,6,0.0,0.0,142.0,231.8,28.861739379323623,0.0,0.0,0.0,0.0,0.0,2.0615528128088303,21.646304534492717,10.823152267246359,0.0,138.12403845819162,92.76987657639737,1068.9151334413784,11.874544201778862,6.184658438426491,0.0,0.0,6.184658438426491,0.0,0.0,146.37024970942696,238.93397100454345
Dallas Goedert,PHI,TE,26,15,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,830.0,14.82,4.0,1.0,0.0,4,1.0,0.0,109.0,165.0,27.679113665963605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.90817840820131,59.61655251130623,883.6024747211459,15.777094789599257,4.258325179379017,1.0645812948447542,0.0,4.258325179379017,1.0645812948447542,0.0,116.03936113807819,175.65591364938442
Darnell Mooney,CHI,WR,24,17,14,0.0,0.0,0.0,0.0,0.0,6.0,32.0,5.33,1.0,140.0,81.0,1055.0,13.02,4.0,0.0,0.0,5,0.0,0.0,139.0,219.7,24.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,5.33,1.0,140.0,81.0,1055.0,13.02,4.0,0.0,0.0,5.0,0.0,0.0,139.0,219.7
Kyle Pitts,ATL,TE,21,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,68.0,1026.0,15.09,1.0,0.0,0.0,1,0.0,0.0,109.0,176.6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,68.0,1026.0,15.09,1.0,0.0,0.0,1.0,0.0,0.0,109.0,176.6
Javonte Williams,DEN,RB,21,17,1,0.0,0.0,0.0,0.0,0.0,203.0,903.0,4.45,4.0,53.0,43.0,316.0,7.35,3.0,2.0,1.0,7,0.0,0.0,162.0,204.9,21.0,0.0,0.0,0.0,0.0,0.0,203.0,903.0,4.45,4.0,53.0,43.0,316.0,7.35,3.0,2.0,1.0,7.0,0.0,0.0,162.0,204.9
Amon-Ra St. Brown,DET,WR,22,17,9,0.0,0.0,0.0,0.0,0.0,7.0,61.0,8.71,1.0,119.0,90.0,912.0,10.13,5.0,0.0,0.0,6,2.0,0.0,137.0,227.3,22.0,0.0,0.0,0.0,0.0,0.0,7.0,61.0,8.71,1.0,119.0,90.0,912.0,10.13,5.0,0.0,0.0,6.0,2.0,0.0,137.0,227.3
Zach Ertz,2TM,TE,31,17,14,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,112.0,74.0,763.0,10.31,5.0,0.0,0.0,5,0.0,0.0,107.0,180.7,31.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,112.0,74.0,763.0,10.31,5.0,0.0,0.0,5.0,0.0,0.0,107.0,180.7
Terry McLaurin,WAS,WR,26,17,17,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,130.0,77.0,1053.0,13.68,5.0,0.0,0.0,5,0.0,0.0,137.0,213.5,26.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,130.0,77.0,1053.0,13.68,5.0,0.0,0.0,5.0,0.0,0.0,137.0,213.5
