player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Arian Foster,HOU,RB,24,16,13,0.0,0.0,0.0,0.0,0.0,327.0,1616.0,4.94,16.0,84.0,66.0,604.0,9.15,2.0,3.0,2.0,18,0.0,0.0,326.0,392.0,24.0,0.0,0.0,0.0,0.0,0.0,327.0,1616.0,4.94,16.0,84.0,66.0,604.0,9.15,2.0,3.0,2.0,18.0,0.0,0.0,326.0,392.0,2010
Adrian Peterson,MIN,RB,25,15,15,0.0,0.0,0.0,0.0,0.0,283.0,1298.0,4.59,12.0,50.0,36.0,341.0,9.47,1.0,1.0,1.0,13,0.0,0.0,240.0,275.9,25.81988897471611,0.0,0.0,0.0,0.0,0.0,292.28114319378636,1340.5686355672606,4.740531615757878,12.393546707863734,51.63977794943222,37.1806401235912,352.1832856151278,9.780573943622464,1.0327955589886444,1.0327955589886444,1.0327955589886444,13.426342266852378,0.0,0.0,247.87093415727466,284.94829472496696,2010
Jamaal Charles,KAN,RB,24,16,6,0.0,0.0,0.0,0.0,0.0,230.0,1467.0,6.38,5.0,64.0,45.0,468.0,10.4,3.0,3.0,2.0,8,0.0,0.0,238.0,282.5,24.0,0.0,0.0,0.0,0.0,0.0,230.0,1467.0,6.38,5.0,64.0,45.0,468.0,10.4,3.0,3.0,2.0,8.0,0.0,0.0,238.0,282.5,2010
Peyton Hillis,CLE,RB,24,16,14,1.0,2.0,13.0,0.0,0.0,270.0,1177.0,4.36,11.0,77.0,61.0,477.0,7.82,2.0,8.0,5.0,13,0.0,0.0,234.0,294.9,24.0,1.0,2.0,13.0,0.0,0.0,270.0,1177.0,4.36,11.0,77.0,61.0,477.0,7.82,2.0,8.0,5.0,13.0,0.0,0.0,234.0,294.9,2010
Chris Johnson,TEN,RB,25,16,16,0.0,0.0,0.0,0.0,0.0,316.0,1364.0,4.32,11.0,57.0,44.0,245.0,5.57,1.0,3.0,2.0,12,0.0,0.0,229.0,272.9,25.0,0.0,0.0,0.0,0.0,0.0,316.0,1364.0,4.32,11.0,57.0,44.0,245.0,5.57,1.0,3.0,2.0,12.0,0.0,0.0,229.0,272.9,2010
Brandon Lloyd,DEN,WR,29,16,11,0.0,0.0,0.0,0.0,0.0,1.0,-18.0,-18.0,0.0,153.0,77.0,1448.0,18.81,11.0,0.0,0.0,11,0.0,0.0,209.0,286.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,-18.0,-18.0,0.0,153.0,77.0,1448.0,18.81,11.0,0.0,0.0,11.0,0.0,0.0,209.0,286.0,2010
Dwayne Bowe,KAN,WR,26,16,16,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,133.0,72.0,1162.0,16.14,15.0,1.0,0.0,15,0.0,0.0,207.0,278.6,26.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,133.0,72.0,1162.0,16.14,15.0,1.0,0.0,15.0,0.0,0.0,207.0,278.6,2010
Darren McFadden,OAK,RB,23,13,13,0.0,1.0,0.0,0.0,0.0,223.0,1157.0,5.19,7.0,61.0,47.0,507.0,10.79,3.0,4.0,3.0,10,0.0,0.0,220.0,267.4,25.516209026360542,0.0,1.1094003924504583,0.0,0.0,0.0,247.3962875164522,1283.5762540651801,5.757788036817879,7.7658027471532085,67.67342393947796,52.14181844517154,562.4659989723824,11.970430234540444,3.328201177351375,4.437601569801833,3.328201177351375,11.094003924504584,0.0,0.0,244.06808633910083,296.65366494125254,2010
Roddy White,ATL,WR,29,16,16,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,179.0,115.0,1389.0,12.08,10.0,1.0,1.0,10,2.0,0.0,201.0,316.2,29.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,179.0,115.0,1389.0,12.08,10.0,1.0,1.0,10.0,2.0,0.0,201.0,316.2,2010
LeSean McCoy,PHI,RB,22,15,13,0.0,0.0,0.0,0.0,0.0,207.0,1080.0,5.22,7.0,91.0,78.0,592.0,7.59,2.0,2.0,1.0,9,0.0,0.0,219.0,297.2,22.721502297750177,0.0,0.0,0.0,0.0,0.0,213.7886807106494,1115.419203707736,5.391192817920724,7.229568912920511,93.98439586796664,80.55805360111427,611.4149709212775,7.838918292723811,2.065591117977289,2.065591117977289,1.0327955589886444,9.2951600308978,0.0,0.0,226.18222741851315,306.9468401314251,2010
Rashard Mendenhall,PIT,RB,23,16,16,0.0,0.0,0.0,0.0,0.0,324.0,1273.0,3.93,13.0,34.0,23.0,167.0,7.26,0.0,2.0,2.0,13,0.0,0.0,218.0,241.0,23.0,0.0,0.0,0.0,0.0,0.0,324.0,1273.0,3.93,13.0,34.0,23.0,167.0,7.26,0.0,2.0,2.0,13.0,0.0,0.0,218.0,241.0,2010
Michael Vick,PHI,QB,30,12,12,233.0,372.0,3018.0,21.0,6.0,100.0,676.0,6.76,9.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,9,0.0,1.0,310.0,310.3,34.64101615137755,269.0452254423656,429.5486002770816,3484.8862248285814,24.248711305964285,6.92820323027551,115.47005383792516,780.5775639443741,7.80577563944374,10.392304845413264,0.0,0.0,0.0,0.0,0.0,12.701705922171767,3.464101615137755,10.392304845413264,0.0,1.1547005383792517,357.957166897568,358.30357705908176,2010
Greg Jennings,GNB,WR,27,16,16,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,125.0,76.0,1265.0,16.64,12.0,2.0,0.0,12,0.0,0.0,198.0,274.4,27.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,125.0,76.0,1265.0,16.64,12.0,2.0,0.0,12.0,0.0,0.0,198.0,274.4,2010
Matt Forte,CHI,RB,25,16,16,0.0,0.0,0.0,0.0,0.0,237.0,1069.0,4.51,6.0,70.0,51.0,547.0,10.73,3.0,3.0,2.0,9,1.0,0.0,214.0,264.6,25.0,0.0,0.0,0.0,0.0,0.0,237.0,1069.0,4.51,6.0,70.0,51.0,547.0,10.73,3.0,3.0,2.0,9.0,1.0,0.0,214.0,264.6,2010
Ray Rice,BAL,RB,23,16,14,0.0,0.0,0.0,0.0,0.0,307.0,1220.0,3.97,5.0,83.0,63.0,556.0,8.83,1.0,0.0,0.0,6,0.0,0.0,214.0,276.6,23.0,0.0,0.0,0.0,0.0,0.0,307.0,1220.0,3.97,5.0,83.0,63.0,556.0,8.83,1.0,0.0,0.0,6.0,0.0,0.0,214.0,276.6,2010
Michael Turner,ATL,RB,28,16,15,0.0,0.0,0.0,0.0,0.0,334.0,1371.0,4.1,12.0,20.0,12.0,85.0,7.08,0.0,2.0,2.0,12,0.0,0.0,214.0,225.6,28.0,0.0,0.0,0.0,0.0,0.0,334.0,1371.0,4.1,12.0,20.0,12.0,85.0,7.08,0.0,2.0,2.0,12.0,0.0,0.0,214.0,225.6,2010
Aaron Rodgers,GNB,QB,27,15,15,312.0,475.0,3922.0,28.0,11.0,64.0,356.0,5.56,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4,0.0,0.0,304.0,304.5,27.8854800926934,322.23221440445707,490.5778905196061,4050.6241823534638,28.918275651682045,11.360751148875089,66.09891577527324,367.67521899995745,5.742343307976863,4.131182235954578,0.0,0.0,0.0,0.0,0.0,4.131182235954578,1.0327955589886444,4.131182235954578,0.0,0.0,313.9698499325479,314.48624771204226,2010
Mike Wallace,PIT,WR,24,16,16,0.0,0.0,0.0,0.0,0.0,5.0,39.0,7.8,0.0,98.0,60.0,1257.0,20.95,10.0,1.0,0.0,10,0.0,0.0,190.0,249.6,24.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,7.8,0.0,98.0,60.0,1257.0,20.95,10.0,1.0,0.0,10.0,0.0,0.0,190.0,249.6,2010
Calvin Johnson,DET,WR,25,15,15,0.0,0.0,0.0,0.0,0.0,4.0,32.0,8.0,0.0,137.0,77.0,1120.0,14.55,12.0,1.0,0.0,12,1.0,0.0,189.0,266.2,25.81988897471611,0.0,0.0,0.0,0.0,0.0,4.131182235954578,33.04945788763662,8.262364471909155,0.0,141.4929915814443,79.52525804212563,1156.7310260672818,15.027175383284778,12.393546707863734,1.0327955589886444,0.0,12.393546707863734,1.0327955589886444,0.0,195.1983606488538,274.93017780277717,2010
