player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Derrick Henry ,TEN,RB,26,16,16,0,0,0,0,0,378,2027,5.36,17,31,19,114,6.0,0,3.0,2,17,1.0,0.0,314.0,333.1,26.0,0.0,0.0,0.0,0.0,0.0,378.0,2027.0,5.36,17.0,31.0,19.0,114.0,6.0,0.0,3.0,2.0,17.0,1.0,0.0,314.0,333.1,2020
Alvin Kamara,NOR,RB,25,15,10,0,0,0,0,0,187,932,4.98,16,107,83,756,9.11,5,1.0,0,21,0.0,0.0,295.0,377.8,25.81988897471611,0.0,0.0,0.0,0.0,0.0,193.13276953087652,962.5654609774166,5.14332188376345,16.52472894381831,110.50912481178496,85.72203139605749,780.7934425954152,9.40876754238655,5.163977794943222,1.0327955589886444,0.0,21.688706738761535,0.0,0.0,304.67468990165014,390.1901621859099,2020
Dalvin Cook,MIN,RB,25,14,14,0,0,0,0,0,312,1557,4.99,16,54,44,361,8.2,1,5.0,3,17,3.0,0.0,294.0,337.8,26.726124191242437,0.0,0.0,0.0,0.0,0.0,333.54202990670564,1664.5030146305792,5.334534388571991,17.10471948239516,57.72842825308367,47.037978576586696,385.9252333215408,8.766168734727518,1.0690449676496976,5.3452248382484875,3.2071349029490928,18.173764450044857,3.2071349029490928,0.0,314.2992204890111,361.1233900720678,2020
Davante Adams,GNB,WR,28,14,14,0,0,0,0,0,0,0,0.0,0,149,115,1374,11.95,18,1.0,1,18,0.0,0.0,243.0,358.4,29.93325909419153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.28770017980494,122.94017127971522,1468.8677855506844,12.775087363413885,19.242809417694556,1.0690449676496976,1.0690449676496976,19.242809417694556,0.0,0.0,259.7779271388765,383.14571640565157,2020
Travis Kelce,KAN,TE,31,15,15,1,2,4,0,0,0,0,0.0,0,145,105,1416,13.49,11,1.0,1,11,1.0,0.0,208.0,312.8,32.01666232864798,1.0327955589886444,2.065591117977289,4.131182235954578,0.0,0.0,0.0,0.0,0.0,0.0,149.75535605335344,108.44353369380767,1462.4385115279206,13.932412090756815,11.360751148875089,1.0327955589886444,1.0327955589886444,11.360751148875089,1.0327955589886444,0.0,214.82147626963805,323.058450851648,2020
Tyreek Hill,KAN,WR,26,15,15,0,0,0,0,0,13,123,9.46,2,135,87,1276,14.67,15,1.0,0,17,0.0,0.0,242.0,328.9,26.852684533704757,0.0,0.0,0.0,0.0,0.0,13.426342266852378,127.03385375560327,9.770245988032578,2.065591117977289,139.427400463467,89.85321363201207,1317.8471332695103,15.151110850363414,15.491933384829666,1.0327955589886444,0.0,17.557524502806956,0.0,0.0,249.93652527525197,339.68645935136516,2020
Josh Allen,BUF,QB,24,16,16,396,572,4544,37,10,102,421,4.13,8,1,1,12,12.0,1,9.0,6,9,0.0,0.0,395.0,396.1,24.0,396.0,572.0,4544.0,37.0,10.0,102.0,421.0,4.13,8.0,1.0,1.0,12.0,12.0,1.0,9.0,6.0,9.0,0.0,0.0,395.0,396.1,2020
Aaron Rodgers,GNB,QB,37,16,16,372,526,4299,48,5,38,149,3.92,3,1,1,-6,-6.0,0,4.0,2,3,0.0,0.0,382.0,383.3,37.0,372.0,526.0,4299.0,48.0,5.0,38.0,149.0,3.92,3.0,1.0,1.0,-6.0,-6.0,0.0,4.0,2.0,3.0,0.0,0.0,382.0,383.3,2020
Kyler Murray,ARI,QB,23,16,16,375,558,3971,26,12,133,819,6.16,11,0,0,0,0.0,0,9.0,4,11,0.0,0.0,379.0,378.7,23.0,375.0,558.0,3971.0,26.0,12.0,133.0,819.0,6.16,11.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,11.0,0.0,0.0,379.0,378.7,2020
Patrick Mahomes,KAN,QB,25,15,15,390,588,4740,38,6,62,308,4.97,2,2,0,0,0.0,0,5.0,2,2,0.0,3.0,374.0,374.4,25.81988897471611,402.79026800557136,607.283788685323,4895.450949606175,39.24623124156849,6.196773353931867,64.03332465729596,318.1010321685025,5.132993928173563,2.065591117977289,2.065591117977289,0.0,0.0,0.0,0.0,5.163977794943222,2.065591117977289,2.065591117977289,0.0,3.0983866769659336,386.26553906175303,386.6786572853485,2020
