player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Tom Brady,NWE,QB,30,16,16,398,578,4806,50,8,37,98,2.65,2,0.0,0,0,0.0,0,6.0,4.0,2,0.0,0.0,390.0,390.0,30.0,398.0,578.0,4806.0,50.0,8.0,37.0,98.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,390.0,390.0,2007
LaDainian Tomlinson,SDG,RB,28,16,16,1,1,17,1,0,315,1474,4.68,15,86.0,60,475,7.92,3,0.0,0.0,18,0.0,0.0,308.0,367.6,28.0,1.0,1.0,17.0,1.0,0.0,315.0,1474.0,4.68,15.0,86.0,60.0,475.0,7.92,3.0,0.0,0.0,18.0,0.0,0.0,308.0,367.6,2007
Randy Moss,NWE,WR,30,16,16,0,0,0,0,0,0,0,0.0,0,160.0,98,1493,15.23,23,0.0,0.0,23,0.0,0.0,287.0,385.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,98.0,1493.0,15.23,23.0,0.0,0.0,23.0,0.0,0.0,287.0,385.3,2007
Brian Westbrook,PHI,RB,28,15,15,0,0,0,0,0,278,1333,4.79,7,118.0,90,771,8.57,5,2.0,2.0,12,0.0,0.0,278.0,368.4,28.918275651682045,0.0,0.0,0.0,0.0,0.0,287.11716539884316,1376.7164801318631,4.947090727555607,7.229568912920511,121.86987596066005,92.951600308978,796.2853759802449,8.851057940532684,5.163977794943222,2.065591117977289,2.065591117977289,12.393546707863734,0.0,0.0,287.11716539884316,380.4818839314166,2007
Terrell Owens,DAL,WR,34,15,15,0,0,0,0,0,1,5,5.0,0,141.0,81,1355,16.73,15,0.0,0.0,15,0.0,0.0,226.0,307.0,35.11504900561391,0.0,0.0,0.0,0.0,0.0,1.0327955589886444,5.163977794943222,5.163977794943222,0.0,145.62417381739888,83.6564402780802,1399.4379824296132,17.278669701880023,15.491933384829666,0.0,0.0,15.491933384829666,0.0,0.0,233.41179633143366,317.06823660951386,2007
Braylon Edwards,CLE,WR,24,16,16,0,0,0,0,0,0,0,0.0,0,154.0,80,1289,16.11,16,3.0,2.0,16,0.0,0.0,221.0,300.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,80.0,1289.0,16.11,16.0,3.0,2.0,16.0,0.0,0.0,221.0,300.9,2007
Joseph Addai,IND,RB,24,15,15,0,0,0,0,0,261,1072,4.11,12,48.0,41,364,8.88,3,0.0,0.0,15,1.0,0.0,236.0,276.6,24.78709341572747,0.0,0.0,0.0,0.0,0.0,269.5596408960362,1107.156839235827,4.244789747443329,12.393546707863734,49.57418683145494,42.344617918534425,375.93758347186656,9.171224563819164,3.0983866769659336,0.0,0.0,15.491933384829666,1.0327955589886444,0.0,243.7397519213201,285.6712516162591,2007
Adrian Peterson,MIN,RB,22,14,9,0,0,0,0,0,238,1341,5.63,12,28.0,19,268,14.11,1,4.0,3.0,13,0.0,0.0,233.0,251.9,23.518989288293348,0.0,0.0,0.0,0.0,0.0,254.43270230062802,1433.5893016182445,6.0187231678677975,12.828539611796371,29.93325909419153,20.311854385344255,286.50405133011895,15.084224493537231,1.0690449676496976,4.27617987059879,3.2071349029490928,13.897584579446068,0.0,0.0,249.08747746237952,269.2924273509588,2007
Clinton Portis,WAS,RB,26,16,16,1,1,15,1,0,325,1262,3.88,11,60.0,47,389,8.28,0,6.0,5.0,11,0.0,0.0,226.0,272.7,26.0,1.0,1.0,15.0,1.0,0.0,325.0,1262.0,3.88,11.0,60.0,47.0,389.0,8.28,0.0,6.0,5.0,11.0,0.0,0.0,226.0,272.7,2007
Tony Romo,DAL,QB,27,16,16,335,520,4211,36,19,31,129,4.16,2,0.0,0,0,0.0,0,10.0,2.0,2,0.0,0.0,295.0,295.3,27.0,335.0,520.0,4211.0,36.0,19.0,31.0,129.0,4.16,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,295.0,295.3,2007
Reggie Wayne,IND,WR,29,16,16,0,0,0,0,0,1,4,4.0,0,156.0,104,1510,14.52,10,3.0,3.0,10,0.0,0.0,205.0,309.4,29.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,156.0,104.0,1510.0,14.52,10.0,3.0,3.0,10.0,0.0,0.0,205.0,309.4,2007
Jamal Lewis,CLE,RB,28,15,15,0,0,0,0,0,298,1304,4.38,9,39.0,30,248,8.27,2,4.0,2.0,11,0.0,0.0,217.0,247.2,28.918275651682045,0.0,0.0,0.0,0.0,0.0,307.77307657861604,1346.7654089211924,4.523644548370263,9.2951600308978,40.27902680055713,30.983866769659333,256.13329862918386,8.54121927283609,2.065591117977289,4.131182235954578,2.065591117977289,11.360751148875089,0.0,0.0,224.11663630053584,255.3070621819929,2007
Larry Fitzgerald,ARI,WR,24,15,15,0,0,0,0,0,0,0,0.0,0,167.0,100,1409,14.09,10,3.0,3.0,10,0.0,0.0,195.0,294.9,24.78709341572747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.47685835110363,103.27955589886444,1455.208942615,14.552089426150001,10.327955589886445,3.0983866769659336,3.0983866769659336,10.327955589886445,0.0,0.0,201.39513400278568,304.57141034575125,2007
Chad Johnson,CIN,WR,29,16,16,0,0,0,0,0,6,47,7.83,0,161.0,93,1440,15.48,8,2.0,1.0,8,0.0,0.0,195.0,287.7,29.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,7.83,0.0,161.0,93.0,1440.0,15.48,8.0,2.0,1.0,8.0,0.0,0.0,195.0,287.7,2007
Jason Witten,DAL,TE,25,16,16,0,0,0,0,0,0,0,0.0,0,141.0,96,1145,11.93,7,1.0,1.0,7,0.0,0.0,155.0,250.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,96.0,1145.0,11.93,7.0,1.0,1.0,7.0,0.0,0.0,155.0,250.5,2007
Antonio Gates,SDG,TE,27,16,16,0,0,0,0,0,0,0,0.0,0,117.0,75,984,13.12,9,0.0,0.0,9,0.0,0.0,152.0,227.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,75.0,984.0,13.12,9.0,0.0,0.0,9.0,0.0,0.0,152.0,227.4,2007
Peyton Manning,IND,QB,31,16,16,337,515,4040,31,14,20,-5,-0.25,3,0.0,0,0,0.0,0,6.0,1.0,3,0.0,1.0,275.0,275.1,31.0,337.0,515.0,4040.0,31.0,14.0,20.0,-5.0,-0.25,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,275.0,275.1,2007
Tony Gonzalez,KAN,TE,31,16,16,0,0,0,0,0,0,0,0.0,0,153.0,99,1172,11.84,5,0.0,0.0,5,0.0,0.0,147.0,246.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,99.0,1172.0,11.84,5.0,0.0,0.0,5.0,0.0,0.0,147.0,246.2,2007
T.J. Houshmandzadeh,CIN,WR,30,16,15,0,0,0,0,0,5,14,2.8,0,169.0,112,1143,10.21,12,2.0,1.0,12,0.0,0.0,186.0,297.7,30.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,2.8,0.0,169.0,112.0,1143.0,10.21,12.0,2.0,1.0,12.0,0.0,0.0,186.0,297.7,2007
Marques Colston,NOR,WR,24,16,14,0,0,0,0,0,0,0,0.0,0,143.0,98,1202,12.27,11,1.0,1.0,11,0.0,0.0,184.0,282.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,98.0,1202.0,12.27,11.0,1.0,1.0,11.0,0.0,0.0,184.0,282.2,2007
Marion Barber III,DAL,RB,24,16,0,0,0,0,0,0,204,975,4.78,10,54.0,44,282,6.41,2,3.0,0.0,12,0.0,0.0,198.0,241.7,24.0,0.0,0.0,0.0,0.0,0.0,204.0,975.0,4.78,10.0,54.0,44.0,282.0,6.41,2.0,3.0,0.0,12.0,0.0,0.0,198.0,241.7,2007
Kellen Winslow,CLE,TE,24,16,14,0,0,0,0,0,0,0,0.0,0,148.0,82,1106,13.49,5,2.0,1.0,5,1.0,0.0,141.0,222.6,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,82.0,1106.0,13.49,5.0,2.0,1.0,5.0,1.0,0.0,141.0,222.6,2007
Brandon Marshall,DEN,WR,23,16,16,0,0,0,0,0,5,57,11.4,0,170.0,102,1325,12.99,7,3.0,1.0,7,0.0,0.0,178.0,280.2,23.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,11.4,0.0,170.0,102.0,1325.0,12.99,7.0,3.0,1.0,7.0,0.0,0.0,178.0,280.2,2007
Ben Roethlisberger,PIT,QB,25,15,15,264,404,3154,32,11,35,204,5.83,2,0.0,0,0,0.0,0,9.0,3.0,2,0.0,1.0,261.0,260.6,25.81988897471611,272.65802757300213,417.2494058314124,3257.4371930501848,33.04945788763662,11.360751148875089,36.14784456460256,210.69029403368347,6.021198108903797,2.065591117977289,0.0,0.0,0.0,0.0,0.0,9.2951600308978,3.0983866769659336,2.065591117977289,0.0,1.0327955589886444,269.5596408960362,269.14652267244077,2007
Plaxico Burress,NYG,WR,30,16,16,0,0,0,0,0,0,0,0.0,0,141.0,70,1025,14.64,12,0.0,0.0,12,0.0,0.0,175.0,244.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,70.0,1025.0,14.64,12.0,0.0,0.0,12.0,0.0,0.0,175.0,244.5,2007
Drew Brees,NOR,QB,28,16,16,440,652,4423,28,18,23,52,2.26,1,2.0,2,10,5.0,0,9.0,4.0,1,0.0,0.0,257.0,259.1,28.0,440.0,652.0,4423.0,28.0,18.0,23.0,52.0,2.26,1.0,2.0,2.0,10.0,5.0,0.0,9.0,4.0,1.0,0.0,0.0,257.0,259.1,2007
Willis McGahee,BAL,RB,26,15,15,0,0,0,0,0,294,1207,4.11,7,49.0,43,231,5.37,1,4.0,3.0,8,0.0,0.0,186.0,228.8,26.852684533704757,0.0,0.0,0.0,0.0,0.0,303.6418943426615,1246.584239699294,4.244789747443329,7.229568912920511,50.60698239044358,44.41020903651171,238.57577412637687,5.546112151769021,1.0327955589886444,4.131182235954578,3.0983866769659336,8.262364471909155,0.0,0.0,192.09997397188786,236.30362389660186,2007
Dallas Clark,IND,TE,28,15,15,0,0,0,0,0,2,29,14.5,0,101.0,58,616,10.62,11,0.0,0.0,11,0.0,0.0,131.0,188.5,28.918275651682045,0.0,0.0,0.0,0.0,0.0,2.065591117977289,29.95107121067069,14.975535605335345,0.0,104.3123514578531,59.90214242134138,636.202064337005,10.968288836459404,11.360751148875089,0.0,0.0,11.360751148875089,0.0,0.0,135.2962182275124,194.6819628693595,2007
Edgerrin James,ARI,RB,29,16,16,0,0,0,0,0,324,1222,3.77,7,39.0,24,204,8.5,0,5.0,0.0,7,0.0,0.0,185.0,208.6,29.0,0.0,0.0,0.0,0.0,0.0,324.0,1222.0,3.77,7.0,39.0,24.0,204.0,8.5,0.0,5.0,0.0,7.0,0.0,0.0,185.0,208.6,2007
Wes Welker,NWE,WR,26,16,13,0,0,0,0,0,4,34,8.5,0,145.0,112,1175,10.49,8,3.0,0.0,8,0.0,0.0,169.0,280.9,26.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,8.5,0.0,145.0,112.0,1175.0,10.49,8.0,3.0,0.0,8.0,0.0,0.0,169.0,280.9,2007
Chris Cooley,WAS,TE,25,16,16,0,0,0,0,0,0,0,0.0,0,110.0,66,786,11.91,8,1.0,0.0,8,1.0,0.0,129.0,194.6,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,66.0,786.0,11.91,8.0,1.0,0.0,8.0,1.0,0.0,129.0,194.6,2007
Frank Gore,SFO,RB,24,15,15,0,0,0,0,0,260,1102,4.24,5,69.0,53,436,8.23,1,4.0,3.0,6,0.0,0.0,184.0,236.8,24.78709341572747,0.0,0.0,0.0,0.0,0.0,268.5268453370476,1138.1407060054862,4.3790531701118525,5.163977794943222,71.26289357021646,54.73816462639816,450.298863719049,8.499907450476545,1.0327955589886444,4.131182235954578,3.0983866769659336,6.196773353931867,0.0,0.0,190.03438285391059,244.56598836851103,2007
Derek Anderson,CLE,QB,24,16,15,298,527,3787,29,19,32,70,2.19,3,0.0,0,0,0.0,0,5.0,2.0,3,0.0,1.0,252.0,252.5,24.0,298.0,527.0,3787.0,29.0,19.0,32.0,70.0,2.19,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,1.0,252.0,252.5,2007
Earnest Graham,TAM,RB,27,15,10,0,0,0,0,0,222,898,4.05,10,69.0,49,324,6.61,0,1.0,1.0,10,0.0,0.0,180.0,229.2,27.8854800926934,0.0,0.0,0.0,0.0,0.0,229.28061409547908,927.4504119718027,4.18282201390401,10.327955589886445,71.26289357021646,50.60698239044358,334.6257611123208,6.82677864491494,0.0,1.0327955589886444,1.0327955589886444,10.327955589886445,0.0,0.0,185.903200617956,236.7167421201973,2007
Greg Jennings,GNB,WR,24,13,13,0,0,0,0,0,0,0,0.0,0,84.0,53,920,17.36,12,1.0,0.0,12,0.0,0.0,164.0,217.0,26.625609418811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1896329658385,58.79822079987429,1020.6483610544217,19.259190812939956,13.3128047094055,1.1094003924504583,0.0,13.3128047094055,0.0,0.0,181.94166436187516,240.73988516174944,2007
Matt Hasselbeck,SEA,QB,32,16,16,352,562,3966,28,12,39,89,2.28,0,0.0,0,0,0.0,0,9.0,4.0,0,0.0,1.0,250.0,249.5,32.0,352.0,562.0,3966.0,28.0,12.0,39.0,89.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,250.0,249.5,2007
Torry Holt,STL,WR,31,16,16,0,0,0,0,0,0,0,0.0,0,149.0,93,1189,12.78,7,2.0,0.0,7,1.0,0.0,163.0,255.9,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,93.0,1189.0,12.78,7.0,2.0,0.0,7.0,1.0,0.0,163.0,255.9,2007
Marshawn Lynch,BUF,RB,21,13,13,1,1,8,1,0,280,1115,3.98,7,26.0,18,184,10.22,0,2.0,1.0,7,1.0,0.0,176.0,194.2,23.297408241459625,1.1094003924504583,1.1094003924504583,8.875203139603666,1.1094003924504583,0.0,310.6321098861283,1236.981437582261,4.415413561952824,7.7658027471532085,28.844410203711917,19.96920706410825,204.12967221088434,11.338072010843684,0.0,2.2188007849009166,1.1094003924504583,7.7658027471532085,1.1094003924504583,0.0,195.25446907128065,215.445556213879,2007
Kevin Curtis,PHI,WR,29,16,16,0,0,0,0,0,0,0,0.0,0,135.0,77,1110,14.42,6,0.0,0.0,8,0.0,0.0,159.0,236.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,77.0,1110.0,14.42,6.0,0.0,0.0,8.0,0.0,0.0,159.0,236.0,2007
Maurice Jones-Drew,JAX,RB,22,15,0,0,0,0,0,0,167,768,4.6,9,55.0,40,407,10.18,0,2.0,2.0,10,0.0,0.0,174.0,213.5,22.721502297750177,0.0,0.0,0.0,0.0,0.0,172.47685835110363,793.186989303279,4.750859571347764,9.2951600308978,56.803755744375444,41.31182235954578,420.3477925083783,10.5138587905044,0.0,2.065591117977289,2.065591117977289,10.327955589886445,0.0,0.0,179.70642726402414,220.5018518440756,2007
Brett Favre,GNB,QB,38,16,16,356,535,4155,28,15,29,12,0.41,0,0.0,0,0,0.0,0,9.0,3.0,0,0.0,0.0,243.0,243.4,38.0,356.0,535.0,4155.0,28.0,15.0,29.0,12.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,243.0,243.4,2007
Roddy White,ATL,WR,26,16,15,0,0,0,0,0,1,-2,-2.0,0,137.0,83,1202,14.48,6,3.0,2.0,6,0.0,0.0,152.0,235.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,137.0,83.0,1202.0,14.48,6.0,3.0,2.0,6.0,0.0,0.0,152.0,235.0,2007
