rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
1,Priest Holmes,KAN,RB,30,16,16,0,1,0,0,0,320,1420,4.44,27,90.0,74,690,9.32,0,1.0,1.0,27,,,371.0,445.0,452.0,408.0,229.0,1,1.0
2,LaDainian Tomlinson,SDG,RB,24,16,16,1,1,21,1,0,313,1645,5.26,13,137.0,100,725,7.25,4,2.0,,17,,,344.0,443.8,449.8,393.8,202.0,2,2.0
3,Ahman Green,GNB,RB,26,16,16,0,0,0,0,0,355,1883,5.3,15,60.0,50,367,7.34,5,7.0,5.0,20,,,335.0,385.0,396.0,360.0,193.0,3,3.0
4,Randy Moss,MIN,WR,26,16,16,0,1,0,0,0,6,18,3.0,0,172.0,111,1632,14.7,17,1.0,1.0,17,,,265.0,376.0,380.0,320.5,161.0,1,4.0
5,Jamal Lewis,BAL,RB,24,16,16,0,0,0,0,0,387,2066,5.34,14,38.0,26,205,7.88,0,8.0,6.0,14,,,299.0,325.1,337.1,312.1,157.0,4,5.0
6,Torry Holt,STL,WR,27,16,15,0,0,0,0,0,1,5,5.0,0,183.0,117,1696,14.5,12,1.0,,12,,,242.0,359.1,362.1,300.6,138.0,2,6.0
7,Clinton Portis,DEN,RB,22,13,13,0,0,0,0,0,290,1591,5.49,14,51.0,38,314,8.26,0,3.0,1.0,14,1.0,,275.0,312.5,319.5,293.5,133.0,5,7.0
8,Shaun Alexander,SEA,RB,26,16,15,0,0,0,0,0,326,1435,4.4,14,59.0,42,295,7.02,2,4.0,3.0,16,,,263.0,305.0,314.0,284.0,121.0,6,8.0
9,Deuce McAllister,NOR,RB,25,16,16,0,2,0,0,0,351,1641,4.68,8,87.0,69,516,7.48,0,6.0,3.0,8,,,258.0,326.7,335.7,292.2,116.0,7,9.0
10,Chad Johnson,CIN,WR,25,16,14,0,0,0,0,0,0,0,,0,154.0,90,1355,15.06,10,0.0,,10,,,196.0,285.5,288.5,240.5,91.0,3,10.0
