,rk,player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,fantasy_dkpt,fantasy_fdpt,fantasy_vbd,fantasy_posrank,fantasy_ovrank
0,1,LaDainian Tomlinson,SDG,RB,27,16,16,2,3,20,2,0,348,1815,5.22,28,80.0,56,508,9.07,3,2.0,1.0,31,,,425.0,481.1,488.1,453.1,266.0,1,1.0
1,2,Larry Johnson,KAN,RB,27,16,16,0,1,0,0,0,416,1789,4.3,17,66.0,41,410,10.0,2,2.0,2.0,19,,,330.0,370.9,378.9,350.4,171.0,2,2.0
2,3,Steven Jackson,STL,RB,23,16,16,0,0,0,0,0,346,1528,4.42,13,110.0,90,806,8.96,3,4.0,2.0,16,,,325.0,415.4,423.4,370.4,167.0,3,3.0
3,4,Peyton Manning,IND,QB,30,16,16,362,557,4397,31,9,23,36,1.57,4,0.0,0,0,,0,2.0,1.0,4,,2.0,311.0,311.5,324.5,320.5,127.0,1,4.0
4,5,Frank Gore,SFO,RB,23,16,16,0,0,0,0,0,312,1695,5.43,8,86.0,61,485,7.95,1,6.0,5.0,9,,,262.0,323.0,334.0,292.5,103.0,4,5.0
5,6,Willie Parker,PIT,RB,26,16,16,0,0,0,0,0,337,1494,4.43,13,42.0,31,222,7.16,3,7.0,5.0,16,,,258.0,288.6,299.6,273.1,99.0,5,6.0
6,7,Brian Westbrook,PHI,RB,27,15,14,0,0,0,0,0,240,1217,5.07,7,105.0,77,699,9.08,4,2.0,2.0,11,,,254.0,330.6,338.6,292.1,95.0,6,7.0
7,8,Marvin Harrison,IND,WR,34,16,16,0,0,0,0,0,0,0,,0,148.0,95,1366,14.38,12,1.0,1.0,12,,,207.0,301.6,305.6,254.1,90.0,1,8.0
8,9,Tiki Barber,NYG,RB,31,16,16,0,0,0,0,0,327,1662,5.08,5,75.0,58,465,8.02,0,3.0,1.0,5,,,241.0,298.7,305.7,269.7,82.0,7,9.0
9,10,Terrell Owens,DAL,WR,33,16,15,0,0,0,0,0,0,0,,0,150.0,85,1180,13.88,13,0.0,,13,1.0,,198.0,283.0,286.0,240.5,81.0,2,10.0
10,11,Michael Vick,ATL,QB,26,16,16,204,388,2474,20,13,123,1039,8.45,2,1.0,1,1,1.0,0,9.0,3.0,2,,,263.0,264.0,286.0,276.5,79.0,2,11.0
11,12,Drew Brees,NOR,QB,27,16,16,356,554,4418,26,11,42,32,0.76,0,0.0,0,0,,0,8.0,3.0,0,,2.0,260.0,259.9,276.9,270.9,76.0,3,12.0
12,13,Maurice Jones-Drew,JAX,RB,21,16,1,0,0,0,0,0,166,941,5.67,13,62.0,46,436,9.48,2,1.0,1.0,16,,,232.0,277.7,284.7,254.7,73.0,8,13.0
13,14,Reggie Wayne,IND,WR,28,16,16,0,0,0,0,0,0,0,,0,137.0,86,1310,15.23,9,1.0,,9,1.0,,187.0,273.0,276.0,230.0,70.0,3,14.0
14,15,Marc Bulger,STL,QB,29,16,16,370,588,4301,24,8,18,44,2.44,0,0.0,0,0,,0,6.0,3.0,0,,1.0,252.0,252.4,266.4,260.4,68.0,4,15.0
15,16,Antonio Gates,SDG,TE,26,16,16,0,0,0,0,0,0,0,,0,120.0,71,924,13.01,9,0.0,,9,,,146.0,217.4,220.4,181.9,68.0,1,16.0
16,17,Chad Johnson,CIN,WR,28,16,16,0,0,0,0,0,6,24,4.0,0,152.0,87,1369,15.74,7,1.0,1.0,7,,,179.0,266.3,270.3,222.8,63.0,4,17.0
17,18,Donald Driver,GNB,WR,31,16,16,0,0,0,0,0,7,16,2.29,0,173.0,92,1295,14.08,8,1.0,,8,,,179.0,271.1,274.1,225.1,63.0,5,18.0
18,19,Torry Holt,STL,WR,30,16,16,0,0,0,0,0,0,0,,0,179.0,93,1188,12.77,10,2.0,1.0,10,,,177.0,269.8,273.8,223.3,60.0,6,19.0
19,20,Steve Smith Sr.,CAR,WR,27,14,14,0,0,0,0,0,8,61,7.63,1,139.0,83,1166,14.05,8,2.0,,9,,,177.0,259.7,262.7,218.2,60.0,7,20.0
20,21,Lee Evans,BUF,WR,25,16,15,0,1,0,0,0,0,0,,0,137.0,82,1292,15.76,8,1.0,1.0,8,,,175.0,257.2,261.2,216.2,59.0,8,21.0
21,22,Javon Walker,DEN,WR,28,16,16,0,0,0,0,0,9,123,13.67,1,126.0,69,1084,15.71,8,0.0,,9,,,175.0,243.7,249.7,209.2,58.0,9,22.0
22,23,Carson Palmer,CIN,QB,27,16,16,324,520,4035,28,13,26,37,1.42,0,0.0,0,0,,0,15.0,7.0,0,,,237.0,237.1,260.1,250.1,53.0,5,23.0
23,24,Roy Williams,DET,WR,25,16,16,0,0,0,0,0,2,2,1.0,0,151.0,82,1310,15.98,7,2.0,2.0,7,,,169.0,251.2,256.2,210.2,53.0,10,24.0
24,25,Rudi Johnson,CIN,RB,27,16,15,0,0,0,0,0,341,1309,3.84,12,31.0,23,124,5.39,0,6.0,2.0,12,,,211.0,234.3,242.3,222.8,52.0,9,25.0
25,26,Alge Crumpler,ATL,TE,29,16,16,0,0,0,0,0,0,0,,0,103.0,56,780,13.93,8,0.0,,8,,,126.0,182.0,185.0,154.0,48.0,2,26.0
26,27,T.J. Houshmandzadeh,CIN,WR,29,14,13,0,0,0,0,0,3,6,2.0,0,132.0,90,1081,12.01,9,0.0,,9,,,163.0,252.7,255.7,207.7,46.0,11,27.0
27,28,Tony Gonzalez,KAN,TE,30,15,15,0,0,0,0,0,0,0,,0,104.0,73,900,12.33,5,1.0,,5,1.0,,122.0,195.0,198.0,158.5,44.0,3,28.0
28,29,Plaxico Burress,NYG,WR,29,15,15,0,0,0,0,0,0,0,,0,116.0,63,988,15.68,10,2.0,1.0,10,,,157.0,219.8,223.8,188.3,40.0,12,29.0
29,30,Darrell Jackson,SEA,WR,28,13,13,0,0,0,0,0,0,0,,0,112.0,63,956,15.17,10,1.0,,10,,,156.0,218.6,221.6,187.1,39.0,13,30.0
30,31,Marques Colston,NOR,WR,23,14,12,0,0,0,0,0,0,0,,0,115.0,70,1038,14.83,8,0.0,,8,,,152.0,221.8,224.8,186.8,35.0,14,31.0
31,32,Tom Brady,NWE,QB,29,16,16,319,516,3529,24,12,49,102,2.08,0,0.0,0,0,,0,12.0,4.0,0,,2.0,219.0,219.4,241.4,231.4,35.0,6,32.0
32,33,Todd Heap,BAL,TE,26,16,16,0,0,0,0,0,0,0,,0,116.0,73,765,10.48,6,0.0,,6,,,113.0,185.5,188.5,149.0,34.0,4,33.0
33,34,Jon Kitna,DET,QB,34,16,16,372,596,4208,21,22,34,156,4.59,2,0.0,0,0,,0,11.0,9.0,2,,,218.0,217.9,254.9,239.9,34.0,7,34.0
34,35,Chris Cooley,WAS,TE,24,16,16,0,0,0,0,0,0,0,,0,95.0,57,734,12.88,6,0.0,,6,1.0,,111.0,168.4,171.4,139.9,33.0,5,35.0
35,36,Joey Galloway,TAM,WR,35,16,14,0,0,0,0,0,2,9,4.5,0,143.0,62,1057,17.05,7,0.0,,7,,,149.0,210.6,213.6,179.6,32.0,15,36.0
