player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj,year
Christian McCaffrey,CAR,RB,23,16,16,0,2,0,0,0,287,1387,4.83,15,142,116,1005,8.66,4,1.0,0,19,1.0,0.0,355.0,471.2,23.707857347301548,0.0,2.0615528128088303,0.0,0.0,0.0,295.83282863806716,1429.6868756829238,4.978650042933325,15.461646096066227,146.37024970942696,119.57006314291216,1035.9302884364372,8.926523679462235,4.123105625617661,1.0307764064044151,0.0,19.584751721683887,1.0307764064044151,0.0,365.9256242735674,485.7018426977604,2019
Lamar Jackson,BAL,QB,22,15,15,265,401,3127,36,6,176,1206,6.85,7,0,0,0,0.0,0,9.0,2,7,0.0,0.0,416.0,415.7,23.42078848658459,282.11404313385987,426.89709923274637,3328.945708979546,38.32492661441115,6.387487769068525,187.36630789267673,1283.8850415827735,7.292381869686565,7.452069063913279,0.0,0.0,0.0,0.0,0.0,9.581231653602787,2.1291625896895083,7.452069063913279,0.0,0.0,442.8658186554177,442.5464442669643,2019
Derrick Henry ,TEN,RB,25,15,15,0,0,0,0,0,303,1540,5.08,16,24,18,206,11.44,2,5.0,3,18,0.0,0.0,277.0,294.6,26.61453237111885,0.0,0.0,0.0,0.0,0.0,322.5681323379605,1639.4551940609213,5.408072977811351,17.033300717516067,25.5499510762741,19.162463307205574,219.30374673801936,12.178810013023986,2.1291625896895083,5.32290647422377,3.1937438845342623,19.162463307205574,0.0,0.0,294.8890186719969,313.6256494612646,2019
Aaron Jones,GNB,RB,25,16,16,0,0,0,0,0,236,1084,4.59,16,68,49,474,9.67,3,3.0,2,19,0.0,0.0,266.0,314.8,25.76941016011038,0.0,0.0,0.0,0.0,0.0,243.26323191144198,1117.361624542386,4.731263705396265,16.492422502470642,70.09279563550022,50.508043913816344,488.5880166356928,9.967607849930694,3.0923292192132457,3.0923292192132457,2.0615528128088303,19.584751721683887,0.0,0.0,274.1865241035744,324.4884127361099,2019
Ezekiel Elliott,DAL,RB,24,16,16,0,0,0,0,0,301,1357,4.51,12,71,54,420,7.78,2,3.0,2,14,0.0,0.0,258.0,311.7,24.738633753705965,0.0,0.0,0.0,0.0,0.0,310.26369832772895,1398.7635834907915,4.648801592883912,12.369316876852983,73.18512485471348,55.66192594583842,432.9260906898544,8.019440441826351,2.0615528128088303,3.0923292192132457,2.0615528128088303,14.430869689661812,0.0,0.0,265.9403128523391,321.2930058762562,2019
Dalvin Cook,MIN,RB,24,14,14,0,0,0,0,0,250,1135,4.54,13,63,53,519,9.79,0,4.0,2,13,0.0,0.0,239.0,292.4,26.44671192092831,0.0,0.0,0.0,0.0,0.0,275.48658250966986,1250.7090845939013,5.002836338375605,14.325302290502833,69.42261879243681,58.40315549205002,571.9101452900746,10.788054571078671,0.0,4.407785320154718,2.203892660077359,14.325302290502833,0.0,0.0,263.3651728792444,322.2091069033099,2019
Michael Thomas,NOR,WR,26,16,15,0,0,0,0,0,1,-9,-9.0,0,185,149,1725,11.58,9,1.0,0,9,0.0,0.0,226.0,374.6,26.800186566514792,0.0,0.0,0.0,0.0,0.0,1.0307764064044151,-9.276987657639737,-9.276987657639737,0.0,190.6936351848168,153.58568455425785,1778.0893010476161,11.936390786163127,9.276987657639737,1.0307764064044151,0.0,9.276987657639737,0.0,0.0,232.9554678473978,386.1288418390939,2019
Travis Kelce,KAN,TE,30,16,16,0,0,0,0,0,1,4,4.0,1,136,97,1229,12.67,5,1.0,1,6,0.0,0.0,157.0,254.3,30.923292192132454,0.0,0.0,0.0,0.0,0.0,1.0307764064044151,4.123105625617661,4.123105625617661,1.0307764064044151,140.18559127100045,99.98531142122827,1266.8242034710263,13.05993706914394,5.153882032022076,1.0307764064044151,1.0307764064044151,6.184658438426491,0.0,0.0,161.8318958054932,262.1264401486428,2019
Nick Chubb,CLE,RB,24,16,16,0,0,0,0,0,298,1494,5.01,8,49,36,278,7.72,0,3.0,3,8,0.0,0.0,219.0,255.2,24.738633753705965,0.0,0.0,0.0,0.0,0.0,307.1713691085157,1539.9799511681963,5.16418979608612,8.246211251235321,50.508043913816344,37.107950630558946,286.55584098042743,7.957593857442085,0.0,3.0923292192132457,3.0923292192132457,8.246211251235321,0.0,0.0,225.74003300256692,263.05413891440674,2019
Austin Ekeler,LAC,RB,24,16,8,0,0,0,0,0,132,557,4.22,3,108,92,993,10.79,8,3.0,2,11,0.0,0.0,217.0,309.0,24.738633753705965,0.0,0.0,0.0,0.0,0.0,136.0624856453828,574.1424583672592,4.349876435026632,3.0923292192132457,111.32385189167684,94.83142938920619,1023.5609715595842,11.122077425103639,8.246211251235321,3.0923292192132457,2.0615528128088303,11.338540470448567,0.0,0.0,223.6784801897581,318.5099095789643,2019
