player,tm,fantpos,age,games_g,games_gs,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,fumbles_fmb,fumbles_fl,scoring_td,scoring_2pm,scoring_2pp,fantasy_fantpt,fantasy_ppr,age_adj,passing_cmp_adj,passing_att_adj,passing_yds_adj,passing_td_adj,passing_int_adj,rushing_att_adj,rushing_yds_adj,rushing_y/a_adj,rushing_td_adj,receiving_tgt_adj,receiving_rec_adj,receiving_yds_adj,receiving_y/r_adj,receiving_td_adj,fumbles_fmb_adj,fumbles_fl_adj,scoring_td_adj,scoring_2pm_adj,scoring_2pp_adj,fantasy_fantpt_adj,fantasy_ppr_adj
Chris Johnson,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.6,14,71.0,50,503,10.06,2,3.0,3.0,16,1.0,0.0,343.0,392.9,24.0,0.0,1.0,0.0,0.0,0.0,358.0,2006.0,5.6,14.0,71.0,50.0,503.0,10.06,2.0,3.0,3.0,16.0,1.0,0.0,343.0,392.9
Adrian Peterson,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.4,18,57.0,43,436,10.14,0,7.0,6.0,18,0.0,0.0,278.0,320.9,24.0,0.0,0.0,0.0,0.0,0.0,314.0,1383.0,4.4,18.0,57.0,43.0,436.0,10.14,0.0,7.0,6.0,18.0,0.0,0.0,278.0,320.9
Maurice Jones-Drew,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71.0,53,374,7.06,1,2.0,1.0,16,0.0,0.0,271.0,323.5,24.0,0.0,0.0,0.0,0.0,0.0,312.0,1391.0,4.46,15.0,71.0,53.0,374.0,7.06,1.0,2.0,1.0,16.0,0.0,0.0,271.0,323.5
Aaron Rodgers,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0.0,0,0,0.0,0,10.0,4.0,5,0.0,3.0,343.0,343.0,26.0,350.0,541.0,4434.0,30.0,7.0,58.0,316.0,5.45,5.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,0.0,3.0,343.0,343.0
Andre Johnson,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.0,0,171.0,101,1569,15.53,9,1.0,0.0,9,1.0,0.0,214.0,314.9,28.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,171.0,101.0,1569.0,15.53,9.0,1.0,0.0,9.0,1.0,0.0,214.0,314.9
Ray Rice,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101.0,78,702,9.0,1,3.0,2.0,8,0.0,0.0,248.0,326.1,22.0,0.0,1.0,0.0,0.0,0.0,254.0,1339.0,5.27,7.0,101.0,78.0,702.0,9.0,1.0,3.0,2.0,8.0,0.0,0.0,248.0,326.1
Randy Moss,NWE,WR,32,16,16,0,0,0,0,0,0,0,0.0,0,137.0,83,1264,15.23,13,2.0,1.0,13,1.0,0.0,204.0,287.4,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,83.0,1264.0,15.23,13.0,2.0,1.0,13.0,1.0,0.0,204.0,287.4
DeSean Jackson,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117.0,62,1156,18.65,9,3.0,1.0,12,0.0,0.0,199.0,261.3,23.754297856738823,0.0,0.0,0.0,0.0,0.0,11.360751148875089,141.4929915814443,12.858304709408623,1.0327955589886444,120.8370804016714,64.03332465729596,1193.911666190873,19.26163717513822,9.2951600308978,3.0983866769659336,1.0327955589886444,12.393546707863734,0.0,0.0,205.52631623874024,269.8694795637328
Miles Austin,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.0,0,124.0,81,1320,16.3,11,1.0,0.0,11,0.0,0.0,198.0,278.8,25.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.0,0.0,124.0,81.0,1320.0,16.3,11.0,1.0,0.0,11.0,0.0,0.0,198.0,278.8
Thomas Jones,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18.0,10,58,5.8,0,2.0,0.0,14,0.0,0.0,230.0,240.0,31.0,0.0,0.0,0.0,0.0,0.0,331.0,1402.0,4.24,14.0,18.0,10.0,58.0,5.8,0.0,2.0,0.0,14.0,0.0,0.0,230.0,240.0
Frank Gore,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75.0,52,406,7.81,3,4.0,2.0,13,0.0,0.0,227.0,278.6,27.795169158892136,0.0,0.0,0.0,0.0,0.0,244.81129759178074,1197.3303637676613,5.2276298918070205,10.690449676496975,80.17837257372732,55.59033831778427,434.0322568657772,8.349241197344137,3.2071349029490928,4.27617987059879,2.138089935299395,13.897584579446068,0.0,0.0,242.67320765648134,297.83592798720576
Larry Fitzgerald,ARI,WR,26,16,16,0,0,0,0,0,0,0,0.0,0,153.0,97,1092,11.26,13,0.0,0.0,13,0.0,0.0,187.0,284.2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,97.0,1092.0,11.26,13.0,0.0,0.0,13.0,0.0,0.0,187.0,284.2
